Abraham	Abrahám
Abrahám	Abraham
Andrej	Andrejs
Andrejs	Andrej
Annan	Annen
Annen	Annan
Astrachaň	astrachán
Blatnice	blata,Blatný
Blatný	blata,Blatnice
Boudný	bouda
Brod	brodit
Brook	brok
Brooker	broker
Brunej	brunet
Bába	baba
Bíl	bílý,běl
Běla	Bělina
Bělina	Běla
Bělov	běl
Březa	bříza
Cibula	cibule
Dan	Dán,daň
David	Davidov
Davidov	David
Dolina	dolinář
Dominic	Dominik
Dominik	Dominic
Drda	Drdák
Drdák	Drda
Dán	Dan
Florena	Florentina
Florentina	Florena
Francie	frank
Franke	Franky
Franky	frank,Franke
Gal	Gál
Gent	agent
Gál	Gal
Hana	Haná
Haná	Hana
Hašler	hašlerka
Hejnice	hejno
Helvét	helvet,helvít
Hispanie	Hispánie
Hispánie	Hispanie
Hlinka	Hlinsko
Hlinsko	Hlinka
Hora	horor
Horka	horký
Hověz	hovězí
Hrab	hrabě
Hroza	hrůza
Hřebeč	hřebec
Jan	Ján
Janoš	Jánoš
Java	Jáva
Jelena	jelenář
Jesenin	jesen
Ján	Jan
Jánoš	Janoš
Jáva	Java
Kladno	kladný
Klimák	klima
Konstantin	konstanta
Kopač	Kopáč
Kopernik	Koperník
Koperník	Kopernik
Kopeč	kopec
Kopáč	Kopač
Kosovo	kos
Kovač	Kováč
Kováč	Kovač
Koč	kočí
Koňařík	koňařit
Kořista	kořist
Krejčík	krejčí
Král	Králík,Královák
Králik	Králík
Královák	Králík,Král,král
Králík	Králik,Královák,Král,král
Krč	krk,krčit
Kubin	Kubín
Kubič	kubík
Kubín	Kubin
Kuchar	Kuchár
Kuchyňa	kuchyně
Kuchár	Kuchar
Křiva	křivý,Křivák
Křivák	Křiva,křivý
Křiž	kříž,Kříž
Kříž	Křiž
Kůst	kost
Laník	Láník
Lenin	lenit,len
Leona	Leontina
Leontina	Leona
Letov	letovat
Levit	levý
Libye	Libý,libý
Libý	Libye
Lombardie	lombard
Loučka	loučit
Lucern	lucerna
Ludvík	Ludvíkov
Ludvíkov	Ludvík
Láník	Laník
Lízal	lízat
Lýd	Lýdie
Lýdie	Lýd
Magdalena	Magdaléna
Magdaléna	Magdalena
Malát	malátný
Mann	man
Marek	Mareček
Mareček	Marek
Maria	Marija
Marija	Maria
Marten	Martín,Martin
Martin	Martinov,Martín,Marten
Martinov	Martin,Martín
Martín	Marten,Martin,Martinov
Mater	mateř
Michalov	Michalovič
Michalovič	Michalov
Mikulič	Mikulík
Mikulík	Mikulič
Minos	minus
Méd	med
Míla	míle
Mělník	mělnit
Nor	nora
Novák	nový
Oborný	Zborný
Pacifik	pacifikovat
Pan	pán
Peck	pec
Perout	Peru
Peru	Perout
Petrarca	Petrarka
Petrarka	Petrarca
Placht	plachta
Plánka	plán
Poledník	poledne
Polena	poleno
Portugalsko	portugal
Provázek	provázet
Pásek	pás
Rojka	roj
Roman	Román,román,Romanov
Romanov	Roman,Román,román
Román	Roman,Romanov
Rulík	rulička
Ráb	rab
Sardinie	sardinka
Scot	Scott
Scott	Scot
Siva	sivý
Slepička	slepičář
Slezsko	slez
Soliman	Solimán
Solimán	Soliman
Stalin	Stalinov
Stalinov	Stalin
Stin	stín
Stone	stonek,stonat
Stříž	střiž
Svatý	svat
Sviny	svině
Tate	tát,táta
Teka	tečka
Telč	tele
Titán	titan
Trent	Trentin
Trentin	Trent
Tutu	tutový
Tyl	týl
Valentin	Valentina
Valentina	Valentin
Vaník	Vaněk
Vaněk	Vaník
Vinklár	vinklář
Vladimir	Vladimír
Vladimír	Vladimir
Vlasov	vlas
Vondrouš	Vondruš
Vondruš	Vondrouš
Vrana	vrána,Vraný
Vraný	Vrana
Vápeník	vápeničit
Vína	víno
Zapata	pata
Zborný	Oborný
Zimák	zima
Zita	zíta
Zlín	zlínět
Zmij	zmije
Zuckerman	Zuckermann
Zuckermann	Zuckerman
Zuza	Zuzák
Zuzák	Zuza
Zázvora	zázvor
agent	Gent
albín	albína
albína	albín
alkalisovat	zalkalisovat
amalgam	amalgám
amalgám	amalgam
amortisovat	zamortisovat
analysovat	zanalysovat
armatura	armaturář
armaturář	armatura
asimilovat	assimilovat
assimilovat	asimilovat
astrachán	Astrachaň
aut	auto
auto	aut
baba	Bába,bába
bafunář	bafuňář
bafuňařit	bafuňář
bafuňář	bafunář,bafuňařit
banka	baňka
banální	banát
banát	banální
baňka	banka
benediktin	benediktýn
benediktýn	benediktin
beran	beranit
beranit	beran
bit	bít
blata	Blatný,Blatnice
blyštit	blýštit
blýštit	blyštit
bolševisovat	zbolševisovat
bouda	Boudný
brodit	Brod
brok	Brook
broker	Brooker
brunet	Brunej
buchtovatět	zbuchtovatět
buldok	buldočit
buldočit	buldok
bába	baba
bán	báň
báň	bán
bílý	Bíl
bít	bit
běl	Bělov,Bíl
bředat	vybředat,zabředat,rozbředat
bříza	Březa
centralisovat	zcentralisovat
cesionář	cessionář
cessionář	cesionář
chan	chán
chlámat	vychlámat
chroptit	chroptět
chroptět	chroptit
chroupat	chrupat
chrupat	chroupat
chvalořeč	chvalořečit
chvalořečit	chvalořeč
chán	chan
chřoupat	chřupat
chřupat	chřoupat
cibule	Cibula
citrus	citrusář
citrusář	citrus
cvočkař	cvočkář
cvočkář	cvočkař
daň	Dan
debrujár	debrujář
debrujář	debrujár
decentralisovat	přecentralisovat
dehydrovat	rehydrovat
demokratisovat	zdemokratisovat
demoralisovat	zdemoralisovat
denunciovat	denuncovat
denuncovat	denunciovat
desorganisovat	zdesorganisovat
desátek	desátník
desátník	desátek
diferenciovat	diferencovat
diferencovat	diferenciovat
dispens	dispenz
dispenz	dispens
distanc	distance
distance	distanc
diversifikovat	zdiversifikovat,dodiversifikovat
dmychat	dmýchat
dmýchat	dmychat
dna	dno
dno	dna
docentralisovat	zcentralisovat
dochutit	ochutit
dodiversifikovat	diversifikovat
doinicialisovat	inicialisovat,odinicialisovat,zinicialisovat,nainicialisovat,rozinicialisovat
dokonsumovat	prokonsumovat
dokrojit	okrojit
dolinář	Dolina
donormalisovat	pronormalisovat,normalisovat
dopřádat	opřádat,zapřádat,upřádat,vypřádat
dosignalisovat	signalisovat,odsignalisovat
dostabilisovat	stabilisovat,ustabilisovat
dostrukturalisovat	strukturalisovat
dostřihat	střihat
dostříhnout	stříhnout
dosychat	osychat,dosýchat
dosynchronisovat	nasynchronisovat,usynchronisovat,přisynchronisovat
dosystematisovat	systematisovat
dosystemisovat	systemisovat
dosýchat	dosychat,osýchat
doufat	zoufat
dout	out
dovitaminisovat	ovitaminisovat
dočmuchat	pročmuchat,čmuchat
doškicnout	oškicnout
dredovatět	zdredovatět
drén	drénovat
drénovat	drén
dvojit	dvojí
dvojnásobek	dvojnásobit
dvojnásobit	dvojnásobek
dvojí	dvojit
dít	dítě
dítě	dít
dřevosochat	dřevosochař
dřevosochař	dřevosochat
expres	exprese
exprese	expres
fajfkař	fajfkář
fajfkář	fajfkař
fanfaron	fanfarón
fanfarón	fanfaron
fantom	fantóm
fantóm	fantom
faun	fauna
fauna	faun
flitrovat	oflitrovat
flám	fláma
fláma	flám
frank	Franky,Francie
germanisovat	zgermanisovat
gesce	gesto
gesto	gesce
grafika	grafičit
grafičit	grafika
gubernie	gubernium
gubernium	gubernie
hanit	hanět
hanět	hanit
harmonie	harmonika
harmonika	harmonie
harmonisovat	zharmonisovat
hašlerka	Hašler
hejno	Hejnice
helvet	helvít,Helvét
helvít	helvet,Helvét
hendikepovat	hendikepový
hendikepový	hendikepovat
heroin	heroina
heroina	heroin
historisovat	zhistorisovat
hledat	hlédat
hlouček	hloučit
hloučit	hlouček
hlédat	zhlédat,hledat
hníst	hnít
hnít	hníst
hora	horor
horký	Horka
horna	hornatý
hornatý	horna
horolezec	horolezení
horolezení	horolezec
horor	hora,Hora
hospoda	hospodář
hospodář	hospoda
hovězí	Hověz
hořec	hořet
hořet	hořec
hrabě	Hrab
hrůza	Hroza
humanisovat	zhumanisovat
hřeb	hřebec
hřebec	Hřebeč,hřeb
inicialisovat	nainicialisovat,doinicialisovat,zinicialisovat,přeinicialisovat,rozinicialisovat
intendance	intendant
intendant	intendance
interna	interní
interní	interna
inventarisovat	zinventarisovat
jachtařit	zajachtařit
janičár	janičář
janičář	janičár
jelenář	Jelena
jesen	Jesenin
jiný	jíní
jorkšír	yorkšír
jíní	jiný
kabonit	kabonět
kabonět	kabonit
kakao	kakat
kakat	kakao
kampan	kampaň
kampaň	kampan
kapitalisovat	zkapitalisovat
kapitál	kapitála
kapitála	kapitál
kapuca	kapuce
kapuce	kapuca
karbonát	karbonář
karbonář	karbonát
kat	kát
katalogisovat	zakatalogisovat,zkatalogisovat
kladný	Kladno
klasika	klasikář
klasikář	klasika
klihovatět	zklihovatět
klima	Klimák
klopotit	naklopotit
kláda	kládat
kládat	kláda
klát	klátit
klátit	klát
klín	klínit
klínit	klín
kolonisovat	zkolonisovat
konat	konec
kondensovat	zkondensovat
konec	konat
konkretisovat	zkonkretisovat
konservovat	zakonservovat,zkonservovat
konstanta	Konstantin
kontrakt	kontrast
kontrast	kontrakt
kopec	Kopeč
kopt	koptit
koptit	kopt
korekce	korektní
korektní	korekce
korepetitovat	korepetovat
korepetovat	korepetitovat
korál	korálkář
korálkář	korál
kos	Kosovo
kosa	kosý
kosmopolita	kosmopolitický
kosmopolitický	kosmopolita
kost	Kůst,košt
kosý	kosa
koza	kozák
kozák	koza
kočí	Koč
koňařit	Koňařík
kořist	Kořista
košt	koště,kost
koště	košt
krejčí	Krejčík
kritisovat	zakritisovat
krk	Krč
král	Králík,Královák
krása	krást
krást	krása
krčit	Krč
kubík	Kubič
kuchyně	Kuchyňa
kvačit	kvák
kvák	kvačit
kát	kat
křapat	křápat
křeč	křeček
křeček	křeč
křivý	Křiva,Křivák
křápat	křapat
kříž	Křiž
kůr	kůra
kůra	kůr
lahev	láhev
lata	látka
len	Lenin
lenit	Lenin
letovat	Letov
lev	levý
levý	lev,Levit
libý	Libye
likvida	likvidovat
likvidovat	likvida
likér	likérník
likérník	likér
linkař	linkařit
linkařit	linkař
lombard	Lombardie
loučit	Loučka
lucerna	Lucern
láhev	lahev
lát	látka
látka	lata,lát
lít	lítý,líto
líto	lítý,lít
lítý	lít,líto
lízat	Lízal
malátný	Malát
man	Mann
mandl	mandle
mandle	mandl
masa	maso
masiv	masív
maso	masa
mast	mást
masív	masiv
mateř	Mater
mech	mechovatý
mechanisovat	zmechanisovat
mechovatý	mech
med	Méd
medicina	medicína
medicína	medicina
mimika	mimikry
mimikry	mimika
mina	minuta
minus	Minos
minuta	mina
mobilisovat	namobilisovat,vymobilisovat
monopolisovat	zmonopolisovat
motorisovat	zmotorisovat
mrcasatit	mrcasatět
mrcasatět	mrcasatit
multiprogram	multiprogramovat
multiprogramovat	multiprogram
mánie	mánička
mánička	mánie
mást	mast
míle	Míla,mělký
mýt	mýto
mýto	mýt
mělký	míle
mělnit	Mělník
nacensurovat	zacensurovat
nadbíhat	podbíhat
nadzdvihat	nazdvihat
nainicialisovat	inicialisovat,doinicialisovat
naklopotit	klopotit
nakročit	zakročit
nalétat	nalétnout
nalétat	nalétnout
nalétnout	nalétat,nalétat
namobilisovat	mobilisovat
napřahat	vypřahat
naschránit	uschránit
nasmrádnout	vysmrádnout
nastabilisovat	stabilisovat,zastabilisovat,ustabilisovat
nastehnout	zastehnout
nastrukturalisovat	strukturalisovat
nastřihat	střihat
nastříhnout	stříhnout,ustříhnout,přestříhnout
nasynchronisovat	usynchronisovat,dosynchronisovat,přisynchronisovat
nasystematisovat	systematisovat
nazdvihat	nadzdvihat
nazvedat	zvedat
načrtat	črtat
neutralisovat	zneutralisovat
nit	nový
nora	Nor
normalisovat	donormalisovat,přenormalisovat
nový	Novák,nit
ochládat	prochládat
ochutit	dochutit
odinicialisovat	doinicialisovat
odjednoznačnit	zjednoznačnit
odlétnout	podlétnout
odprůmyslnit	zprůmyslnit
odpínat	podpínat
odsignalisovat	signalisovat,dosignalisovat
odvitaminisovat	ovitaminisovat
oficiál	oficiální
oficiální	oficiál
oflitrovat	flitrovat
okrojit	dokrojit
omobilisovat	umobilisovat,promobilisovat,zmobilisovat
omrzat	promrzat
oploštit	zploštit
oploštět	zploštět
opláchnout	pláchnout,propláchnout,vypláchnout
oplítat	proplítat,uplítat
optimalisovat	zoptimalisovat
opál	opálka
opálka	opál
opřádat	zapřádat,upřádat,dopřádat
osa	vosa
ostruha	struha
osud	sud
osychat	dosychat,prosychat,osýchat
osýchat	dosýchat,prosýchat,osychat
otleskat	tleskat
otrsat	trsat
out	dout
ovadat	uvadat
ovitaminisovat	dovitaminisovat,vitaminisovat,odvitaminisovat,přivitaminisovat
ozdravět	zdravět
očurat	čurat
oškicnout	doškicnout
ošklíbat	pošklíbat
pacifikovat	Pacifik
paleničář	páleničář
pan	pán
panorama	panoráma
panoráma	panorama
paralysovat	zparalysovat
pas	pás
pasivní	pasivovat
pasivovat	pasivní
past	pást
pata	Zapata
patron	patrona
patrona	patron
pec	Peck
pendl	pendlovat
pendlovat	pendl
persiflovat	zpersiflovat
pestřit	zpestřit
plachta	Placht
plakat	plakát
plakát	plakat
pláchnout	vypláchnout,opláchnout,propláchnout
plán	Plánka
plát	plátno
plát	plátno
plátno	plát,plát
podbíhat	nadbíhat
podlétnout	odlétnout,podlétávat
podlétávat	podlétnout
podpínat	odpínat
poledne	Poledník
polemisovat	zapolemisovat
poleno	Polena
police	policie
policie	police
ponoukat	poňoukat
popularisovat	zpopularisovat
populární	zpopulárnit
portugal	Portugalsko
pospíchat	spíchat
postupný	postupář
postupář	postupný
pozapomínat	zapomínat
pozápadnit	pozápadnět
pozápadnět	pozápadnit
poňoukat	ponoukat
pošklíbat	ošklíbat
pošťouchat	šťouchat
požitkařit	požitkář
požitkář	požitkařit
pravovárečný	právovárečný
precisovat	zaprecisovat
premiér	premiéra
premiéra	premiér
prochládat	ochládat
produchovnit	produchovnět
produchovnět	produchovnit
profesionalisovat	zprofesionalisovat
progres	progrese
progrese	progres
prokonsumovat	dokonsumovat
promobilisovat	omobilisovat,zmobilisovat
promrzat	omrzat
pronormalisovat	donormalisovat
propláchnout	pláchnout,opláchnout
proplítat	oplítat,zaplítat,uplítat
prosychat	osychat,prosýchat
prosýchat	prosychat,osýchat
provlhat	vlhat
provázet	Provázek
pročmuchat	dočmuchat
pryštit	prýštit
právovárečný	pravovárečný
prýmka	prýmkář
prýmkář	prýmka
prýštit	pryštit
punk	punč,punkt
punkt	punk
punč	punk
puč	pučit
pučit	puč
páleničář	paleničář
pán	pan,Pan
párkař	párkář
párkář	párkař
pás	Pásek,pas
pást	past
páter	páteř
páteř	páter
píce	píča
píka	píča
pít	pět
píča	píka,píce
pěna	pěnice
pěnice	pěna
pět	pít
přecentralisovat	decentralisovat
předebíhat	předeběhnout
předeběhnout	předebíhat
přeinicialisovat	inicialisovat
přenormalisovat	normalisovat
přeorganisovat	reorganisovat,zreorganisovat
přespecialisovat	zespecialisovat
přesrat	přisrat
přestříhnout	nastříhnout
přesychat	přesýchat
přesynchronisovat	přisynchronisovat
přesystematisovat	systematisovat
přesýchat	přesychat
přisrat	přesrat
přistabilisovat	stabilisovat
přisychat	přisýchat
přisynchronisovat	přesynchronisovat,nasynchronisovat,dosynchronisovat
přisýchat	přisychat
přivitaminisovat	ovitaminisovat
rab	Ráb
rehydrovat	dehydrovat
reorganisovat	zreorganisovat,přeorganisovat
reální	reálný
reálný	reální
roj	Rojka
rolničit	rolnička
rolnička	rolničit
román	Roman,Romanov
rozbíhat	zbíhat
rozbředat	bředat
rozcensurovat	zcensurovat
rozchvátit	zchvátit
rozcitlivit	zcitlivit,rozcitlivět
rozcitlivět	zcitlivět,rozcitlivit
rozedrat	zedrat
rozesrat	zesrat
