# smazat z derinetu, 1. závorka = rodič , 2. závorka = dítě
myslet–V	myslitel–N
zásobit–V	samozásobitel–N
stavět–V	stavitel–N
zbrojit–V	uzbrojitel–N
anachronický–A	anachronismus–N
antagonický–A	antagonismus–N
astigmatický–A	astigmatismus–N
schematický–A	schematismus–N
křovák–N	křovácký–A
watthodina–N	mikrowatthodina–N
ampér–N	mikroampér–N
organizmus–N	mikroorganizmus–N
organismus–N	mikroorganismus–N
tragédie–N	mikrotragédie–N
volt–N	mikrovolt–N
watt–N	mikrowatt–N
kamion–N	superkamion–N
konstruktivizmus–N	superkonstruktivizmus–N
mechanizmus–N	supermechanizmus–N
motard–N	supermotard–N
organizmus–N	superorganizmus–N
těžký–A	supertěžký–A
wat–N	mikrowat–N
ampérhodina–N	mikroampérhodina–N
