derivation	parent
abstrahovat#V????--??-??B??	abstraktní#AA???----??---?
acetát#NNI??-----A---?	aceton#NNI??-----A---?
acetylen#NNI??-----A---?	aceton#NNI??-----A---?
agentura#NNF??-----A---?	agent#NNM??-----A---?
aminokyselina#NNF??-----A---?	amin#NNI??-----A---?
anoncovat#V????--??-??B??	anonce#NNF??-----A---?
antikvární#AA???----??---?	antikvariát#NNI??-----A---?
aparatura#NNF??-----A---?	aparát#NNI??-----A---?
apelovat#V????--??-??I??	apel#NNI??-----A---?
askeze#NNF??-----A---?	asketa#NNM??-----A---?
bacilonosič#NNM??-----A---?	bacil#NNI??-----A---?
bakteriologie#NNF??-----A---?	bakterie#NNF??-----A---?
balkonový#AA???----??---?	balkon#NNI??-----A---?
bank#NNI??-----A---?	banka#NNF??-----A---?
barman#NNM??-----A---?	bar#NNI??-----A---?
beránek#NNM??-----A---?	beran#NNM??-----A---?
beatifikovat#V????--??-??B??	beatifikace#NNF??-----A---?
benzol#NNI??-----A---?	benzin#NNI??-----A---?
benzen#NNI??-----A---?	benzin#NNI??-----A---?
berunka#NNF??-----A---?	beruška#NNF??-----A---?
blafat#V????--??-??I??	blaf#NNI??-----A---?
blahobyt#NNI??-----A---?	blahý#AA???----1?---?
blahořečit#V????--??-??I??	blahý#AA???----1?---?
blb#NNM??-----A---?	blbý#AA???----??---?
vyblednout#V????--??-??P??	bledý#A????----??---?
blokovat#V????--??-??I??	blok#NNI??-----A---?
blufovat#V????--??-??I??	bluf#NNI??-----A---?
blatouch#NNI??-----A---?	bláto#NNN??-----A---?
blata#NNNP?-----A---?	bláto#NNN??-----A---?
bonbonek#NNI??-----A---?	bonbon#NNI??-----A---?
brept#NNI??-----A---?	breptat#V????--??-??I??
buclík#NNM??-----A---?	buclatý#AA???----??---?
buvolí#AA???----1?---?	buvol#NNM??-----A---?
přiběhnout#V????--??-??P??	běžet#V????--??-??I??
rozběhnout#V????--??-??P??	běžet#V????--??-??I??
cenzus#NNI??-----A---?	cenzura#NNF??-----A---?
cenzor#NNM??-----A---?	cenzura#NNF??-----A---?
chlopňovitý#AA???----??---?	chlopeň#NNF??-----A---?
chumlat#V????--??-??I??	chumel#NNI??-----A---?
chundelatý#AA???----??---?	chundel#NNI??-----A---?
znechutit#V????--??-??P??	chuť#NNF??-----A---?
chámovod#NNI??-----A---?	chám#NNI??-----A---?
cirkulář#NNI??-----A---?	cirkulovat#V????--??-??I??
citrus#NNI??-----A---?	citron#NNI??-----A---?
cumel#NNI??-----A---?	cumlat#V????--??-??I??
cílevědomý#AA???----??---?	cíl#NNI??-----A---?
necita#NNM??-----A---?	cítit#V????--??-??I??
dalekohled#NNI??-----A---?	daleký#A????----??---?
oddálit#V????--??-??P??	daleký#A????----??---?
dedukce#NNF??-----A---?	dedukovat#V????--??-??B??
definitivní#AA???----??---?	definice#NNF??-----A---?
dekoltáž#NNF??-----A---?	dekolt#NNI??-----A---?
delikvent#NNM??-----A---?	delikt#NNI??-----A---?
dentista#NNM??-----A---?	dentální#AA???----1?---?
denunciant#NNM??-----A---?	denuncovat#V????--??-??B??
depozice#NNF??-----A---?	deponovat#V????--??-??B??
deskripce#NNF??-----A---?	deskriptivní#AA???----1?---?
despocie#NNF??-----A---?	despota#NNM??-----A---?
destruktivní#AA???----??---?	destrukce#NNF??-----A---?
dezertní#AA???----??---?	dezert#NNI??-----A---?
difundovat#V????--??-??I??	difúze#NNF??-----A---?
divoženka#NNF??-----A---?	divý#AA???----??---?
dluhopis#NNI??-----A---?	dluh#NNI??-----A---?
drc#NNI??-----A---?	drcat#V????--??-??I??
drezér#NNM??-----A---?	drezura#NNF??-----A---?
driblink#NNI??-----A---?	driblovat#V????--??-??I??
podruhé#Db------------?	druhý#AA?????????????
poddubák#NNI??-----A---?	dub#NNI??-----A---?
dřevařina#NNF??-----A---?	dřevo#NNN??-----A---?
emfatický#AA???----??---?	emfáze#NNF??-----A---?
evangelík#NNM??-----A---?	evangelium#NNN??-----A---?
excelovat#V????--??-??I??	excelentní#AA???----??---?
explodovat#V????--??-??B??	exploze#NNF??-----A---?
farmaceutický#AA???----??---?	farmacie#NNF??-----A---?
filumenista#NNM??-----A---?	filumenie#NNFP?-----A---?
finišman#NNM??-----A---?	finiš#NNI??-----A---?
fláma#NNM??-----A---?	flámovat#V????--??-??I??
forčekovat#V????--??-??I??	forčeking#NNI??-----A---?
fotografovat#V????--??-??I??	fotografie#NNF??-----A---?
frekventovaný#AA???----??---?	frekvence#NNF??-----A---?
gubernie#NNF??-----A---?	gubernátor#NNM??-----A---?
guturála#NNF??-----A---?	guturální#AA???----1?---?
pohana#NNF??-----A---?	hanět#V????--??-??I??
hatit#V????--??-??I??	hať#NNF??-----A---?
hec#NNI??-----A---?	hecovat#V????--??-??I??
hlavička#NNF??-----A---?	hlava#NNF??-----?---?
hlubina#NNF??-----A---?	hluboký#AA???----??---?
pohltit#V????--??-??P??	hltat#V????--??-??I??
zahltit#V????--??-??P??	hltat#V????--??-??I??
podhmat#NNI??-----A---?	hmatat#V????--??-??I??
shodný#AA???----??---?	hodit#V????--??-??I??
hody#NNIP?-----A---?	hod#NNI??-----A---?
hopsat#V????--??-??I??	hop#NNI??-----A---?
hůře#Dg-------?A---?	horší#AA???----??---?
poshovět#V????--??-??P??	hovět#V????--??-??I??
hrdlořez#NNM??-----A---?	hrdlo#NNN??-----A---?
huhňat#V???---??-??I??	huhlat#V????--??-??I??
humánní#AA???----??---?	humanismus#NNI??-----A---?
hypnotický#AA???----??---?	hypnóza#NNF??-----A---?
hypnotikum#NNN??-----A---?	hypnóza#NNF??-----A---?
hypotetický#AA???----??---?	hypotéza#NNF??-----A---?
imperátor#NNM??-----A---?	impérium#NNN??-----A---?
imperiální#AA???----??---?	impérium#NNN??-----A---?
infikovat#V????--??-??B??	infekce#NNF??-----A---?
institut#NNI??-----A---?	instituce#NNF??-----A---?
intendance#NNF??-----A---?	intendant#NNM??-----A---?
intenzivní#AA???----??---?	intenzita#NNF??-----A---?
interesantní#AA???----??---?	interes#NNI??-----A---?
inverzní#AA???----1?---?	inverze#NNF??-----A---?
jazzman#NNM??-----A---?	jazz#NNI??-----A---?
objížďka#NNF??-----A---?	jezdit#V????--??-??I??
najevo#Db-------------	jevit#V????--??-??I??
výjev#NNI??-----A---?	jevit#V????--??-??I??
jihnout#V????--??-??I??	jih#NNI??-----A---?
jikernáč#NNM??-----A---?	jikra#NNF??-----A---?
jinam#Db-------------	jiný#AA???----??---?
sněmovat#V????--??-??I??	sněm#NNI??-----A---?
jubilovat#V????--??-??I??	jubileum#NNN??-----A---?
judikatura#NNF??-----A---?	judikát#NNI??-----A---?
jinovatka#NNF??-----A---?	jíní#NNN??-----A---?
jogistický#AA???----??---?	jóga#NNF??-----A---?
kandidovat#V????--??-??I??	kandidát#NNM??-----A---?
kanonýr#NNM??-----A---?	kanon#NNI??-----A---?
katalyzační#AA???----??---?	katalýza#NNF??-----A---?
katecheze#NNF??-----A---?	katechismus#NNI??-----A---?
katecheta#NNM??-----A---?	katechismus#NNI??-----A---?
zákeřný#AA???----??---?	keř#NNI??-----A---?
kleštit#V????--??-??I??	klestit#V????--??-??I??
přikleknout#V????--??-??P??	klečet#V????--??-??I??
kleštičky#NNFP?-----A---?	kleště#NNFP?-----A---?
