Dynda	1	Dynda	Dynd a	FIXME_DIFFERENT	Dynd a	
Pedicia	1	Pedicia	?	FIXME_SD_QUESTIONMARK	Pedici a	
Bania	1	Bania	Bani a	FIXME_DIFFERENT	Bani a	
Swietenia	1	Swietenia	?	FIXME_SD_QUESTIONMARK	Swieteni a	
dojačka	0	doj ač k a	doj ač k a	OK_IDENTICAL	doj ač k a	
Dyjička	0	Dyj ič k a	Dyj ičk a	FIXME_DIFFERENT	Dyj ičk a	
Štiavnička	1	Štiav nič ka	Štiav n i čk a	FIXME_DIFFERENT	Štiav n i čk a	
šperkovnička	0	šperk ov nič k a	šperk ovnič k a	FIXME_DIFFERENT	šperk ovnič k a	
medulka	0	medulka	?	FIXME_SD_QUESTIONMARK	medul k a	
tačanka	0	tačanka	?	FIXME_SD_QUESTIONMARK	tačank a	
Bystričanka	1	Bystr ičan ka	Bystr ič an k a	FIXME_DIFFERENT	Bystr ič an k a	
dominikánka	0	dominik án ka	dominik án ka	OK_IDENTICAL	dominik án ka	
Župka	0	Žup ka	?	FIXME_SD_QUESTIONMARK	Žup k a	
ploténkářka	1	plotén kář ka	plotén k ář k a	FIXME_DIFFERENT	plotén k ář k a	
veleinkvizitorka	1	vele inkviz it or ka	?	FIXME_SD_QUESTIONMARK	vele inkviz it or k a	
Krutská	0	Krut sk á	Kurt sk á	FIXME_SD_WRONG_LEMMA	Krut sk á	
Žižlavská	0	Žižlav sk á	Žižlav sk á	OK_IDENTICAL	Žižlav sk á	
Moťovská	0	Moť ov sk á	?	FIXME_SD_QUESTIONMARK	Moť ovsk á	
Hubatka	0	Huba t ka	Hub at k a	FIXME_DIFFERENT	Hub at k a	
Šťástka	0	Šťást ka	?	FIXME_SD_QUESTIONMARK	Šťást k a	
prvoligistka	1	prvo lig i st ka	prv o lig ist k a	FIXME_DIFFERENT	prv o lig ist k a	
cyklistka	1	cykl i st ka	cykl ist ik a	FIXME_SD_WRONG_LEMMA	cykl ist k a	
kanoistka	1	kanoi st ka	kano ist k a	FIXME_DIFFERENT	kano ist k a	
nechápavka	0	ne cháp av ka	ne cháp a v k a	FIXME_DIFFERENT	ne cháp a v k a	
rychloucpávka	0	rychl o u cpá v ka	rychl o u cp áv k a	FIXME_DIFFERENT	rychl o u cp á vk a	
Klenovka	0	Klen ov ka	?	FIXME_SD_QUESTIONMARK	Klen ov k a	
zubrovka	0	zubr o v ka	zubr ov k a	FIXME_DIFFERENT	zubr ov k a	
Korbela	1	Korbela	Korbel a	FIXME_DIFFERENT	Korbel a	
pupila	0	pupila	?	FIXME_SD_QUESTIONMARK	pupil a	
trula	0	trula	trul a	FIXME_DIFFERENT	trul a	
Buttula	1	Buttula	Buttul a	FIXME_DIFFERENT	Buttul a	
noema	1	noema	noem a	FIXME_DIFFERENT	noem a	
prodloužená	0	pro dlouž en á	pro dlouž en á	OK_IDENTICAL	pro dlouž en á	
Cigna	1	Cigna	Cign a	FIXME_DIFFERENT	Cign a	
základina	1	zá klad in a	zá klad in a	OK_IDENTICAL	zá klad in a	
ulehlina	1	u leh l in a	u leh l in a	OK_IDENTICAL	u leh l in a	
opričnina	1	opričn in a	?	FIXME_SD_QUESTIONMARK	opričn in a	
plavkovina	1	plav k ov in a	plav k ovin a	FIXME_DIFFERENT	plav k ovin a	
Anthozoa	1	Anthozoa	?	FIXME_SD_QUESTIONMARK	Anthozo a	
Churriguerra	1	Churriguerra	?	FIXME_SD_QUESTIONMARK	Churriguerr a	
Nátjašástra	0	Nátjašástra	?	FIXME_SD_QUESTIONMARK	Nátjašástr a	
Bavsa	1	Bavsa	Bavs a	FIXME_DIFFERENT	Bavs a	
Cucurbita	1	Cucurbita	?	FIXME_SD_QUESTIONMARK	Cucurbit a	
Madoqua	1	Madoqua	?	FIXME_SD_QUESTIONMARK	Madoqua	
Lukava	0	Lukava	?	FIXME_SD_QUESTIONMARK	Luk av a	
Bobrava	0	Bobrava	Bobr av a	FIXME_DIFFERENT	Bobrav a	
Ryšavá	0	Ryš av á	?	FIXME_SD_QUESTIONMARK	Ryš av á	
Nosticová	0	Nostic ov á	?	FIXME_SD_QUESTIONMARK	Nostic ov á	
Streisandová	1	Streisand ová	?	FIXME_SD_QUESTIONMARK	Streisand ov á	
Ryschichová	1	Ryschich ová	?	FIXME_SD_QUESTIONMARK	Ryschich ov á	
Samardzichová	0	Samardzich ov á	?	FIXME_SD_QUESTIONMARK	Samardzich ov á	
Aldworthová	1	Aldworth ová	Ald worth ov á	FIXME_DIFFERENT	Aldworth ov á	
Lesňáková	0	Les ňák ov á	Les ň ák ov á	FIXME_DIFFERENT	Les ň ák ov á	
Blažeková	0	Blaž ek ov á	Blaž ek ov á	OK_IDENTICAL	Blaž ek ov á	
Ferulíková	1	Ferulík ová	?	FIXME_SD_QUESTIONMARK	Ferul ík ov á	
Hutníková	0	Hutn ík ov á	Hut ník ov á	FIXME_DIFFERENT	Hut ník ov á	
Věžníková	0	Věž n ík ov á	Věž ník ov á	FIXME_DIFFERENT	Věž ník ov á	
Škorpíková	0	Škorp ík ov á	Škorp ík ov á	OK_IDENTICAL	Škorp ík ov á	
Litvíková	0	Litv ík ov á	Litv ík ov á	OK_IDENTICAL	Litv ík ov á	
Jampílková	1	Jampílk ová	Jamp ílk ov á	FIXME_DIFFERENT	Jampíl k ov á	
Hromková	0	Hrom k ov á	Hrom k ov á	OK_IDENTICAL	Hrom k ov á	
Koubínková	1	Koubínk ová	Koub ínk ov á	FIXME_DIFFERENT	Koub ínk ov á	
Dunková	1	Dunk ová	Dun k ov á	FIXME_DIFFERENT	Dun k ov á	
Oriešková	1	Oriešk ová	Orieš k ov á	FIXME_DIFFERENT	Orieš k ov á	
Zoubelová	0	Zoub el ov á	?	FIXME_SD_QUESTIONMARK	Zoubel ov á	
McConnellová	1	McConnell ová	Mc Connell ov á	FIXME_DIFFERENT	Mc Connell ov á	
Križmová	1	Križm ová	Křižm ov á	FIXME_SD_WRONG_LEMMA	Křižm ov á	
