# Derivations direct, srov		
# derivations that will be added to DeriNet based on Etym dict 'derivation' list		
		
#derivation	parent	
acetát#NNI??-----A---?	aceton#NNI??-----A---?	
acetylen#NNI??-----A---?	aceton#NNI??-----A---?	
administrativa#NNF??-----A---?	administrace#NNF??-----A---?	
agentura#NNF??-----A---?	agent#NNM??-----A---?	
aminokyselina#NNF??-----A---?	amin#NNI??-----A---?	COMPOUND
anoncovat#V????--??-??B??	anonce#NNF??-----A---?	OK
antikvární#AA???----??---?	antikvariát#NNI??-----A---?	
aparatura#NNF??-----A---?	aparát#NNI??-----A---?	OK
apelovat#V????--??-??I??	apel#NNI??-----A---?	OK
askeze#NNF??-----A---?	asketa#NNM??-----A---?	REVERSE
bacilonosič#NNM??-----A---?	bacil#NNI??-----A---?	COMPOUND
bakteriologie#NNF??-----A---?	bakterie#NNF??-----A---?	COMPOUND
balkonový#AA???----??---?	balkon#NNI??-----A---?	OK
bank#NNI??-----A---?	banka#NNF??-----A---?	???
barman#NNM??-----A---?	bar#NNI??-----A---?	COMPOUND
beránek#NNM??-----A---?	beran#NNM??-----A---?	OK
beatifikovat#V????--??-??B??	beatifikace#NNF??-----A---?	REVERSE
benzol#NNI??-----A---?	benzin#NNI??-----A---?	???
benzen#NNI??-----A---?	benzin#NNI??-----A---?	???
berunka#NNF??-----A---?	beruška#NNF??-----A---?	OK
blafat#V????--??-??I??	blaf#NNI??-----A---?	REVERSE
blahobyt#NNI??-----A---?	blahý#AA???----1?---?	COMPOUND
blahořečit#V????--??-??I??	blahý#AA???----1?---?	COMPOUND
blb#NNM??-----A---?	blbý#AA???----??---?	OK
vyblednout#V????--??-??P??	bledý#A????----??---?	blednout
bleskat#V????--??-??I??	blesk#NNI??-----A---?	OK
blokovat#V????--??-??I??	blok#NNI??-----A---?	OK
blufovat#V????--??-??I??	bluf#NNI??-----A---?	OK
blatouch#NNI??-----A---?	bláto#NNN??-----A---?	OK
blata#NNNP?-----A---?	bláto#NNN??-----A---?	OK
blížit#V????--??-??I??	blízký#A????----??---?	OK
bonbonek#NNI??-----A---?	bonbon#NNI??-----A---?	OK
brept#NNI??-----A---?	breptat#V????--??-??I??	OK
buclík#NNM??-----A---?	buclatý#AA???----??---?	OK
buvolí#AA???----1?---?	buvol#NNM??-----A---?	OK
oběhnout#V????--??-??P??	běžet#V????--??-??I??	obíhat
přiběhnout#V????--??-??P??	běžet#V????--??-??I??	přibíhat
cenzor#NNM??-----A---?	cenzura#NNF??-----A---?	OK
cenzus#NNI??-----A---?	cenzura#NNF??-----A---?	OK
chlopňovitý#AA???----??---?	chlopeň#NNF??-----A---?	OK
chumlat#V????--??-??I??	chumel#NNI??-----A---?	OK
chundelatý#AA???----??---?	chundel#NNI??-----A---?	OK
znechutit#V????--??-??P??	chuť#NNF??-----A---?	OK
chámovod#NNI??-----A---?	chám#NNI??-----A---?	COMPOUND
cirkulář#NNI??-----A---?	cirkulovat#V????--??-??I??	OK
citrus#NNI??-----A---?	citron#NNI??-----A---?	???
cumel#NNI??-----A---?	cumlat#V????--??-??I??	REVERSE
cívka#NNF??-----A---?	céva#NNF??-----A---?	???
cílevědomý#AA???----??---?	cíl#NNI??-----A---?	COMPOUND
necita#NNM??-----A---?	cítit#V????--??-??I??	cit
dalekohled#NNI??-----A---?	daleký#A????----??---?	COMPOUND
oddálit#V????--??-??P??	daleký#A????----??---?	dál
dekoltáž#NNF??-----A---?	dekolt#NNI??-----A---?	OK
delikvent#NNM??-----A---?	delikt#NNI??-----A---?	OK
dentista#NNM??-----A---?	dentální#AA???----1?---?	OK
denunciant#NNM??-----A---?	denuncovat#V????--??-??B??	OK
depozice#NNF??-----A---?	deponovat#V????--??-??B??	OK
deskripce#NNF??-----A---?	deskriptivní#AA???----1?---?	REVERSE
despocie#NNF??-----A---?	despota#NNM??-----A---?	OK
destruktivní#AA???----??---?	destrukce#NNF??-----A---?	OK
dezertní#AA???----??---?	dezert#NNI??-----A---?	OK
difundovat#V????--??-??I??	difúze#NNF??-----A---?	OK
divoženka#NNF??-----A---?	divý#AA???----??---?	COMPOUND
dluhopis#NNI??-----A---?	dluh#NNI??-----A---?	COMPOUND
drc#NNI??-----A---?	drcat#V????--??-??I??	OK
drezér#NNM??-----A---?	drezura#NNF??-----A---?	drezurovat
driblink#NNI??-----A---?	driblovat#V????--??-??I??	OK
podruhé#Db------------?	druhý#AA?????????????	OK
poddubák#NNI??-----A---?	dub#NNI??-----A---?	OK
dřevařina#NNF??-----A---?	dřevo#NNN??-----A---?	dřevař
emfatický#AA???----??---?	emfáze#NNF??-----A---?	OK
epický#AA???----??---?	epos#NNI??-----A---?	OK
evangelík#NNM??-----A---?	evangelium#NNN??-----A---?	OK
excelovat#V????--??-??I??	excelentní#AA???----??---?	REVERSE
explodovat#V????--??-??B??	exploze#NNF??-----A---?	OK
farmaceutický#AA???----??---?	farmacie#NNF??-----A---?	OK
filumenista#NNM??-----A---?	filumenie#NNFP?-----A---?	OK
finišman#NNM??-----A---?	finiš#NNI??-----A---?	COMPOUND
fláma#NNM??-----A---?	flámovat#V????--??-??I??	OK
forčekovat#V????--??-??I??	forčeking#NNI??-----A---?	REVERSE
fotografovat#V????--??-??I??	fotografie#NNF??-----A---?	OK
frekventovaný#AA???----??---?	frekvence#NNF??-----A---?	frekventovat
gubernie#NNF??-----A---?	gubernátor#NNM??-----A---?	REVERSE
guturála#NNF??-----A---?	guturální#AA???----1?---?	REVERSE
pohana#NNF??-----A---?	hanět#V????--??-??I??	pohanět
hec#NNI??-----A---?	hecovat#V????--??-??I??	OK
hlavička#NNF??-----A---?	hlava#NNF??-----?---?	OK
zahltit#V????--??-??P??	hltat#V????--??-??I??	OK
pohltit#V????--??-??P??	hltat#V????--??-??I??	OK
podhmat#NNI??-----A---?	hmatat#V????--??-??I??	hmat
dohodnout#V????--??-??P??	hodit#V????--??-??I??	
homiletika#NNF??-----A---?	homilie#NNF??-----A---?	OK
hopsat#V????--??-??I??	hop#NNI??-----A---?	OK
hůře#Dg-------?A---?	horší#AA???----??---?	???
poshovět#V????--??-??P??	hovět#V????--??-??I??	OK
hrdlořez#NNM??-----A---?	hrdlo#NNN??-----A---?	COMPOUND
zhrubět#V????--??-??P??	hrubý#AA???----??---?	OK
huhňat#V???---??-??I??	huhlat#V????--??-??I??	OK
hypnotický#AA???----??---?	hypnóza#NNF??-----A---?	OK
hypnotikum#NNN??-----A---?	hypnóza#NNF??-----A---?	OK
hypotetický#AA???----??---?	hypotéza#NNF??-----A---?	OK
imperátor#NNM??-----A---?	impérium#NNN??-----A---?	OK
imperiální#AA???----??---?	impérium#NNN??-----A---?	OK
infikovat#V????--??-??B??	infekce#NNF??-----A---?	OK
institut#NNI??-----A---?	instituce#NNF??-----A---?	OK
intendance#NNF??-----A---?	intendant#NNM??-----A---?	???
intenzivní#AA???----??---?	intenzita#NNF??-----A---?	OK
interesantní#AA???----??---?	interes#NNI??-----A---?	OK
inverzní#AA???----1?---?	inverze#NNF??-----A---?	OK
jazzman#NNM??-----A---?	jazz#NNI??-----A---?	COMPOUND
výjev#NNI??-----A---?	jevit#V????--??-??I??	vyjevit
najevo#Db-------------	jevit#V????--??-??I??	OK
jihnout#V????--??-??I??	jih#NNI??-----A---?	OK
jikernatý#AA???----??---?	jikra#NNF??-----A---?	OK
jikernáč#NNM??-----A---?	jikra#NNF??-----A---?	jikernatý
jinam#Db-------------	jiný#AA???----??---?	OK
sněmovat#V????--??-??I??	sněm#NNI??-----A---?	OK
jubilovat#V????--??-??I??	jubileum#NNN??-----A---?	OK
judikatura#NNF??-----A---?	judikát#NNI??-----A---?	OK
jinovatka#NNF??-----A---?	jíní#NNN??-----A---?	OK
jogistický#AA???----??---?	jóga#NNF??-----A---?	OK
kandidovat#V????--??-??I??	kandidát#NNM??-----A---?	REVERSE
kanonýr#NNM??-----A---?	kanon#NNI??-----A---?	OK
karikovat#V????--??-??I??	karikatura#NNF??-----A---?	REVERSE
katalyzační#AA???----??---?	katalýza#NNF??-----A---?	OK
katecheze#NNF??-----A---?	katechismus#NNI??-----A---?	OK
katecheta#NNM??-----A---?	katechismus#NNI??-----A---?	OK
zákeřný#AA???----??---?	keř#NNI??-----A---?	OK
přikleknout#V????--??-??P??	klečet#V????--??-??I??	kleknout
kleštičky#NNFP?-----A---?	kleště#NNFP?-----A---?	OK
předkmih#NNI??-----A---?	kmihat#V????--??-??I??	kmih
kmih#NNI??-----A---?	kmihat#V????--??-??I??	OK
zákmih#NNI??-----A---?	kmihat#V????--??-??I??	kmih
knoflíkovitý#AA???----??---?	knoflík#NNI??-----A---?	OK
koheze#NNF??-----A---?	koherence#NNF??-----A---?	REVERSE
