parent	grandparent	derivation
pathos#NNI??-----A---?	telepatie#NNF??-----A---?	patos#NNI??-----A---?
sympathie#NNF??-----A---?	telepatie#NNF??-----A---?	sympatie#NNF??-----A---?
zvuk#NNI??-----A---?	architekt#NNM??-----A---?	technika#NNF??-----A---?
ondulovat#V????--??-??I??	andulka#NNF??-----A---?	ondulace#NNF??-----A---?
Filištein#NNM??-----A---?	filip#NNM??-----A---?	filištín#NNM??-----A---?
Kuba#NNM??-----A---?	janek#NNM??-----A---?	kuba#NNM??-----A---?
Dorota#NNF??-----A---?	janek#NNM??-----A---?	dorota#NNF??-----A---?
Jezule#NNM??-----A---?	jezuita#NNM??-----A---?	jezulátko#NNN??-----A---?
Indián#NNM??-----A---?	marokánka#NNF??-----A---?	indiánek#NNM??-----A---?
Jan#NNM??-----A---?	matěj#NNM??-----A---?	kuba#NNM??-----A---?
solvence#NNF??-----A---?	absolutní#AA???----??---?	solventní#AA???----??---?
atrahovat#V????--??-??I??	abstraktní#AA???----??---?	atrakce#NNF??-----A---?
acidofilie#NNF??-----A---?	aceton#NNI??-----A---?	acidofilní#AA???----1?---?
ekvivalence#NNF??-----A---?	adekvátní#AA???----??---?	ekvivalent#NNI??-----A---?
optovat#V????--??-??B??	adoptovat#V????--??-??P??	kooptovat#V????--??-??B??
orace#NNF??-----A---?	adorace#NNF??-----A---?	oratorium#NNN??-----A---?
orála#NNF??-----A---?	adorace#NNF??-----A---?	orální#AA???----1?---?
dirigovat#V????--??-??I??	adresa#NNF??-----A---?	dirigent#NNM??-----A---?
korigovat#V????--??-??B??	adresa#NNF??-----A---?	korekce#NNF??-----A---?
verbum#NNN??-----A---?	adverbium#NNN??-----A---?	verbální#AA???----??---?
provokovat#V????--??-??I??	advokát#NNM??-----A---?	provokace#NNF??-----A---?
dynamo#NNN??-----A---?	aerodynamický#AA???----??---?	dynamický#AA???----??---?
eufemizmus#NNI??-----A---?	afázie#NNF??-----A---?	eufemismus#NNI??-----A---?
faktum#NNN??-----A---?	afekt#NNI??-----A---?	fakt#NNI??-----A---?
pedagogie#NNF??-----A---?	agenda#NNF??-----A---?	pedagog#NNM??-----A---?
konglomerace#NNF??-----A---?	aglomerace#NNF??-----A---?	konglomerát#NNI??-----A---?
diagnostika#NNF??-----A---?	agnosticismus#NNI??-----A---?	diagnóza#NNF??-----A---?
agenda#NNF??-----A---?	agonie#NNF??-----A---?	pedagog#NNM??-----A---?
antagonizmus#NNI??-----A---?	agonie#NNF??-----A---?	antagonismus#NNI??-----A---?
progres#NNI??-----A---?	agrese#NNF??-----A---?	progresivní#AA???----??---?
gradus#NNI??-----A---?	agrese#NNF??-----A---?	degradovat#V????--??-??B??
koncept#NNI??-----A---?	akceptovat#V????--??-??B??	koncepce#NNF??-----A---?
emancipovat#V????--??-??B??	akceptovat#V????--??-??B??	emancipace#NNF??-----A---?
agonie#NNF??-----A---?	akcie#NNF??-----A---?	akce#NNF??-----A---?
reklama#NNF??-----A---?	aklamace#NNF??-----A---?	reklamovat#V????--??-??I??
modifikovat#V????--??-??B??	akomodace#NNF??-----A---?	modifikace#NNF??-----A---?
móda#NNF??-----A---?	akomodace#NNF??-----A---?	moderní#AA???----??---?
kurýr#NNM??-----A---?	akorát#Db------------?	kurýrovat#V????--??-??I??
prokura#NNF??-----A---?	akorát#Db------------?	prokurátor#NNM??-----A---?
acylpyrin#NNI??-----A---?	akrobat#NNM??-----A---?	ostrý#AA???----??---?
akcie#NNF??-----A---?	aktivní#AA???----??---?	agenda#NNF??-----A---?
aktivní#AA???----??---?	aktuální#AA???----??---?	akt#NNI??-----A---?
akrobacie#NNF??-----A---?	akutní#AA???----??---?	akrobat#NNM??-----A---?
kauzální#AA???----1?---?	akuzativ#NNI??-----A---?	kauzalita#NNF??-----A---?
akvarium#NNN??-----A---?	akvarel#NNI??-----A---?	akvárium#NNN??-----A---?
abeceda#NNF??-----A---?	alfa#NNF??-----A---?	azbuka#NNF??-----A---?
alias#NNI??-----A---?	alternovat#V????--??-??I??	alibi#NNNXX-----A----
altruizmus#NNI??-----A---?	alternovat#V????--??-??I??	altruismus#NNI??-----A---?
Amor#NNM??-----A---?	amatér#NNM??-----A---?	amant#NNM??-----A---?
adekvátní#AA???----??---?	ambivalentní#AA???----??---?	ekvivalentní#AA???----??---?
ambasáda#NNF??-----A---?	ambivalentní#AA???----??---?	ambice#NNF??-----A---?
mlít#V????--??-??I??	amin#NNI??-----A---?	mlýn#NNI??-----A---?
ambrozie#NNF??-----A---?	amortizovat#V????--??-??B??	mřít#V????--??-??I??
mortální#AA???----??---?	amortizovat#V????--??-??B??	mortalita#NNF??-----A---?
alej#NNF??-----A---?	amputovat#V????--??-??B??	ambulance#NNF??-----A---?
ambivalentní#AA???----??---?	amputovat#V????--??-??B??	ambice#NNF??-----A---?
akutní#AA???----??---?	anabáze#NNF??-----A---?	akrobat#NNM??-----A---?
paralyzovat#V????--??-??B??	analýza#NNF??-----A---?	paralýza#NNF??-----A---?
katalýza#NNF??-----A---?	analýza#NNF??-----A---?	katalyzátor#NNI??-----A---?
anabáze#NNF??-----A---?	angrešt#NNI??-----A---?	ocet#NNI??-----A---?
čílit#V????--??-??I??	animozita#NNF??-----A---?	rozčilený#AA???----??---?
akvizice#NNF??-----A---?	anketa#NNF??-----A---?	inkvizice#NNF??-----A---?
notorik#NNM??-----A---?	anotace#NNF??-----A---?	notorický#AA???----??---?
akceptovat#V????--??-??B??	anticipovat#V????--??-??B??	koncepce#NNF??-----A---?
amalgam#NNI??-----A---?	antimon#NNI??-----A---?	amalgám#NNI??-----A---?
-pat-#Affixoid	antipatie#NNF??-----A---?	patos#NNI??-----A---?
milenium#NNN??-----A---?	anály#NNIP?-----A---?	milénium#NNN??-----A---?
apartmán#NNI??-----A---?	apartheid#NNI??-----A---?	apartmá#NNNXX-----A----
preparovat#V????--??-??B??	aparát#NNI??-----A---?	preparát#NNI??-----A---?
komparovat#V????--??-??I??	aparát#NNI??-----A---?	komparace#NNF??-----A---?
interpelovat#V????--??-??B??	apel#NNI??-----A---?	interpelace#NNF??-----A---?
pendl#NNI??-----A---?	apendix#NNI??-----A---?	pendlovky#NNFP?-----A---?
duplikovat#V????--??-??I??	aplikovat#V????--??-??B??	duplikát#NNI??-----A---?
proba#NNF??-----A---?	aprobace#NNF??-----A---?	prubnout#V????--??-??P??
reprobovat#V????--??-??I??	aprobace#NNF??-----A---?	reprobace#NNF??-----A---?
rynek#NNI??-----A---?	aranžovat#V????--??-??I??	rynk#NNI??-----A---?
anarchie#NNF??-----A---?	archaismus#NNI??-----A---?	archiv#NNI??-----A---?
anthologie#NNF??-----A---?	aritmetika#NNF??-----A---?	logaritmus#NNI??-----A---?
aféra#NNF??-----A---?	artefakt#NNI??-----A---?	fakt#NNI??-----A---?
artistika#NNF??-----A---?	artefakt#NNI??-----A---?	artista#NNM??-----A---?
artykl#NNI??-----A---?	artróza#NNF??-----A---?	artikl#NNI??-----A---?
dizertace#NNF??-----A---?	asertivita#NNF??-----A---?	disertace#NNF??-----A---?
konspirovat#V????--??-??I??	aspirovat#V????--??-??I??	konspirace#NNF??-----A---?
animózní#AA???----??---?	astma#NNN??-----A---?	animovat#V????--??-??I??
tribun#NNM??-----A---?	atribut#NNI??-----A---?	tribuna#NNF??-----A---?
hypertrofovat#V????--??-??I??	atrofie#NNF??-----A---?	hypertrofie#NNF??-----A---?
vize#NNF??-----A---?	audio#NNN??-----A----	vizuální#AA???----??---?
knockout#NNI??-----A---?	aut#NNI??-----A---?	knokaut#NNI??-----A---?
bus#NNI??-----A---?	autobus#NNI??-----A---?	mikrobus#NNI??-----A---?
konfidence#NNF??-----A---?	autodafé#NNNXX-----A----	konfident#NNM??-----A---?
aktuální#AA???----??---?	autodafé#NNNXX-----A----	akt#NNI??-----A---?
mobil#NNI??-----A---?	automobil#NNI??-----A---?	mobilní#AA???----??---?
stratifikovat#V????--??-??I??	autostráda#NNF??-----A---?	stratifikace#NNF??-----A---?
audio#AAXXX----1A----	avízo#NNN??-----A---?	vizuální#AA???----??---?
visum#NNN??-----A---?	avízo#NNN??-----A---?	vízum#NNN??-----A---?
tata#NNM??-----A---?	bába#NNF??-----A---?	táta#NNM??-----A---?
baktérie#NNF??-----A---?	bacil#NNI??-----A---?	bakterie#NNF??-----A---?
Damašek#NNI??-----A---?	baldachýn#NNI??-----A---?	damašek#NNI??-----A---?
báj#NNF??-----A---?	bandita#NNM??-----A---?	bájit#V????--??-??I??
metr#NNI??-----A---?	bar#NNI??-----A---?	barometr#NNI??-----A---?
Gota#NNF??-----A---?	baroko#NNN??-----A---?	gotika#NNF??-----A---?
bas#NNI??-----A---?	baryton#NNI??-----A---?	basa#NNF??-----A---?
banka#NNF??-----A---?	bastard#NNM??-----A---?	parchant#NNM??-----A---?
dobytek#NNM??-----A---?	bavit#V????--??-??I??	být#V???---??-??I??
stát#V???---??-??I??	bavit#V????--??-??I??	stavit#V????--??-??P??
bryndza#NNF??-----A---?	bača#NNM??-----A---?	brynza#NNF??-----A---?
pasta#NNF??-----A---?	bašta#NNF??-----A---?	antipasta#NNF??-----A---?
aliterovat#V????--??-??I??	beletrie#NNF??-----A---?	literatura#NNF??-----A---?
belvedér#NNI??-----A---?	beletrie#NNF??-----A---?	belveder#NNI??-----A---?
atletika#NNF??-----A---?	biatlon#NNI??-----A---?	atlet#NNM??-----A---?
latence#NNF??-----A---?	bilaterální#AA???----1?---?	latentní#AA???----1?---?
blamovat#V????--??-??I??	blasfemie#NNF??-----A---?	blamáž#NNF??-----A---?
band#NNI??-----A---?	blasfemie#NNF??-----A---?	bájit#V????--??-??I??
blbý#AA???----??---?	blekotat#V????--??-??I??	blábolit#V????--??-??I??
blesk#NNI??-----A---?	blond#AAXXX----1A----	blinkr#NNI??-----A---?
plivnout#V????--??-??P??	blít#V????--??-??I??	plivat#V????--??-??I??
bob#NNI??-----A---?	bobtnat#V????--??-??I??	bobule#NNF??-----A---?
bahno#NNN??-----A---?	bodat#V????--??-??I??	bádat#V????--??-??I??
bohemistika#NNF??-----A---?	bohém#NNM??-----A---?	bohemista#NNM??-----A---?
balistika#NNF??-----A---?	hyperbola#NNF??-----A---?	parabola#NNF??-----A---?
bontón#NNI??-----A---?	bombastický#AA???----??---?	bonton#NNI??-----A---?
hotel#NNI??-----A---?	botel#NNI??-----A---?	motel#NNI??-----A---?
bobtnat#V????--??-??I??	boubel#NNI??-----A---?	bob#NNI??-----A---?
buřina#NNF??-----A---?	bouřit#V????--??-??I??	buřinka#NNF??-----A---?
boiler#NNI??-----A---?	bowling#NNI??-----A---?	bula#NNF??-----A---?
