Abraham	Abrahám
Abrahám	Abraham
Adam	Adamík
Adolf	Rudolf
Agus	gusto,Hus,agovat,August,gnose,Šuša,egoismus,Šust,šos,humus,husa,šús,Agáta,gesce
Agáta	agáve
