#what to do: YES=connect parent to grandparent; „lemma“=connect to this lemma instead of to the grandparent
#annotation 	grandparent	parent	derivation
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	silvestr#NNI??-----A---?	Silvestrov#NNM??-----A---?	silvestrovský#AA???----??---?
YES	administrace#NNF??-----A---?	administrativa#NNF??-----A---?	administrativní#AA???----1?---?
YES & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	aktivní#AA???----??---?	aktiv#NNI??-----A---?	aktivovat#V????--??-??I??
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	antikvariát#NNI??-----A---?	antikva#NNF??-----A---?	antikvář#NNM??-----A---?
YES	apologie#NNF??-----A---?	apologet#NNM??-----A---?	apologetický#AA???----??---?
NO	asfalt#NNI??-----A---?	síla#NNF??-----A---?	asfaltka#NNF??-----A---?
NO	aspiráta#NNF??-----A---?	aspirovat#V????--??-??I??	aspirace#NNF??-----A---?
NO	aut#NNI??-----A---?	auto#NNN??-----A---?	autový#AA???----??---?
YES	balanc#NNF??-----A---?	balancovat#V????--??-??I??	zabalancovat#V????--??-??P??
YES	beletrie#NNF??-----A---?	beletristika#NNF??-----A---?	beletristický#AA???----??---?
NO	biograf#NNM??-----A---?	biografie#NNF??-----A---?	biografický#AA???----??---?
YES	blecha#NNF??-----A---?	zablešit#V????--??-??P??	zablešený#AA???----??---?
NO	bledý#A????----??---?	zbledat#V????--??-??I??	zblednout#V????--??-??P??
YES	blesk#NNI??-----A---?	bleskat#V????--??-??I??	problesknout#V????--??-??P??
YES	bláto#NNN??-----A---?	rozblátit#V????--??-??P??	rozblácený#AA???----??---?
YES	blízký#A????----??---?	blížit#V????--??-??I??	sblížit#V????--??-??P??
YES	bochník#NNI??-----A---?	bochan#NNI??-----A---?	bochánek#NNI??-----A---?
NO	brambora#NNF??-----A---?	lít#V????--??-??I??	bramboračka#NNF??-----A---?
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	brožura#NNF??-----A---?	brož#NNF??-----A---?	brožovat#V????--??-??I??
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	bránit#V????--??-??I??	vzít#V????--??-??P??	branec#NNM??-----A---?
YES	brýle#NNFP?-----A---?	obrýlit#V????--??-??P??	obrýlený#AA???----??---?
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	bulit#V????--??-??I??	bulet#NNI??-----A---?	ubulený#AA???----??---?
NO & RECONNECT DERIVATION FROM PARENT TO GRANDPARENT	bydlet#V????--??-??I??	být#V???---??-??I??	obydlí#NNN??-----A---?
NO	bylina#NNF??-----A---?	žrát#V????--??-??I??	býložravý#AA???----??---?
