# manual annotation: + = predicted label is true			
# header: dtree \t lreg \t parent \t child \t lreg-label			
+	Brass–N	Brassův–A	POSSESSIVE|0.9979628367037502
+	Schilder–N	Schilderová–N	FEMALE|0.9006062814903693
+	oheň–N	ohnisko–N	NONE|0.9153118642016606
+	žvástalka–N	žvástalčin–A	POSSESSIVE|0.9991090635080616
+	nadigitalizovat–V	nadigitalizovávat–V	ASPECT|0.9550379972401513
+	Brulík–N	Brulíkův–A	POSSESSIVE|0.9982121487063909
+	posránek–N	posránkův–A	POSSESSIVE|0.9987108651331569
+	Gundling–N	Gundlingův–A	POSSESSIVE|0.9976635225159833
+	Šumera–N	Šumerová–N	FEMALE|0.7356366821573495
+	Hadinger–N	Hadingerův–A	POSSESSIVE|0.9985215550555135
+	Mendlík–N	Mendlíkův–A	POSSESSIVE|0.9982085563951704
+	Stacey–N	Staceyová–N	FEMALE|0.8168144129266982
+	Zamoravec–N	Zamoravcův–A	POSSESSIVE|0.9976809032499121
+	Cunctator–N	Cunctatorův–A	POSSESSIVE|0.9978471614447446
+	zargumentovat–V	zargumentovávat–V	ASPECT|0.9736665032044445
+	mlátičkářka–N	mlátičkářčin–A	POSSESSIVE|0.9993061681665201
+	invertor–N	invertorový–A	NONE|0.9994410424453076
+	Rusoameričan–N	Rusoameričanka–N	FEMALE|0.9843555661191529
+	zadouvat–V	zadouvávat–V	ITERATIVE|0.991494613007831
+	Kromanov–N	Kromanovův–A	POSSESSIVE|0.997704125745638
+	přednosta–N	přednostenský–A	NONE|0.9984101537147453
+	Eritrea–N	eritrejský–A	NONE|0.998292436437862
+	Colorado–N	coloradský–A	NONE|0.9979319271076569
+	bezvěrec–N	bezvěrecký–A	NONE|0.991186749934047
+	Banier–N	Banierův–A	POSSESSIVE|0.9985114556028332
+	Bonney–N	Bonneyová–N	FEMALE|0.8168144129266982
+	Husárik–N	Husárikův–A	POSSESSIVE|0.998299016139946
+	zhřívat–V	zhřívávat–V	ITERATIVE|0.9905106470737218
+	Czendlík–N	Czendlíková–N	FEMALE|0.8233716715055757
+	borec–N	borka–N	FEMALE|0.9926091672069665
+	poplakávat–V	poplakávávat–V	ITERATIVE|0.9917725386593592
+	Sitař–N	Sitařová–N	FEMALE|0.9309565251940907
+	Gaňa–N	Gaňová–N	FEMALE|0.8168144129266982
+	Velcl–N	Velclová–N	FEMALE|0.8168144129266982
+	růžařka–N	růžařčin–A	POSSESSIVE|0.9992363013617985
+	psychika–N	psychik–N	NONE|0.9708194913182838
+	potíratelka–N	potíratelčin–A	POSSESSIVE|0.9993951033517979
+	anjel–N	anjelův–A	POSSESSIVE|0.9983170856425043
+	Rogozný–N	Rogozná–N	FEMALE|0.9912609004102176
+	Sevillanka–N	Sevillančin–A	POSSESSIVE|0.9991703237548824
+	Strejc–N	Strejcek–N	DIMINUTIVE|0.9809095464231719
+	Dulčík–N	Dulčíkův–A	POSSESSIVE|0.9981711805025021
+	Foch–N	Fochův–A	POSSESSIVE|0.9979940679363084
+	dozbrojovat–V	dozbrojovávat–V	ITERATIVE|0.9915897671203848
+	Farrer–N	Farrerův–A	POSSESSIVE|0.9985114556028332
+	naváb–N	navábův–A	POSSESSIVE|0.9977173719051255
+	instalatér–N	instalatérský–A	NONE|0.99877085432907
+	Bartaloš–N	Bartalošův–A	POSSESSIVE|0.997905472877332
+	flogiston–N	flogistonový–A	NONE|0.9997455139480877
NONE	písek–N	Písek–N	DIMINUTIVE|0.9958165779104665
+	Beleš–N	Belešův–A	POSSESSIVE|0.9977127435430705
+	Burián–N	Buriánův–A	POSSESSIVE|0.9978706037111874
+	poštimovat–V	poštimovávat–V	ASPECT|0.9686983604040901
+	hornička–N	horničin–A	POSSESSIVE|0.9988773815192272
+	pukrle–N	pukrlátko–N	DIMINUTIVE|0.9938840074908882
+	Škvarka–N	Škvarkův–A	POSSESSIVE|0.9992633341348521
+	polokomisařka–N	polokomisařčin–A	POSSESSIVE|0.9992363013617985
