Abraham	Abrahám
Abrahám	Abraham
Adam	Adamík
Adamík	Adam
Adana	adovat
Afrika	afrikán,afrikanistika,Fritsch
Agus	gusto
Agáta	agáve
Ajvaz	rozvoz
Akkad	akce,Čad
Albany	albánský,Albánie,albína,albín,albit
Albánie	albánský,Albany,albín,albína
Alexandr	Alexandrov
Alexandrov	Alexandr
Alexej	Alexejev
Alexejev	Alexej
Aleš	Leš,Valeš,lešení
Alijev	lijec,alej
Almohada	Almohád
Almohád	Almohada
Altaj	alt,oltář
Alán	lán,Alávita
Alávita	Alán,lavina
Aman	amant,zamanout,man,Omán,Rayman
Ambros	Ambroz
Ambroz	Ambros,Ambrož,ambit
Ambrož	Ambroz
Amerika	poameričtit
Amor	amur,zámora,Morea,moře,můra,Morse,vodoměr
Andie	anděl,andezit
Andrej	Andrejs,Andrejev,Andrýs,android
Andrejev	Andrej,Andrejs
Andrejs	Andrej,Andrejev,Andrýs
Andráš	Ondrášov,Vondráš
Andrýs	Andrejs,Andrej,android
Anglie	anglistika,anglikán
Anna	Annan,Annen,ananas,antika,Antily,Ota,rána
Annan	Annen,Anna,Onan,Daan
Annen	Annan,Anna
Antal	anténa,Antily,anténář,antika,Antoník,dentála
Antily	antika,vně,cé,ovce,Ola,anténa,Ota,alt,Antal,oj,Zola,sto,ujec,dé,deka,Anna,Nat,zet,záře,Poe,dna,vát,Vey,dno,přesný,zajíc,jiný,zlý,necky,Inuit,kilo,ovoce,dýka,štvát,pot,oko
Antiochos	chaos
Antoník	Antonín,Antal
Antonín	Antoník
Apolinář	apolit
Apollon	Apollón
Apollón	Apollon
Apple	Zappa
Asie	eses
Assyr	Asýrie,Usir,síra
Astrachaň	astrachán
Asýrie	Sýrie,Assyr
Atlanta	Atlantik
Atlantik	Atlanta
Atény	tknout,attika,tnout,tanout,atika,zatkat
August	Augustin,Augustýn,gusto
Augustin	Augustýn,augustinián,August
Augustýn	Augustin,August,augustinián
Avar	var,várka,výr,varovat,Jar,Dewar
Aventin	ventil
Avery	Verna,dveře
Avila	vila,vilný,víla,vina
Azer	Zeyer,eser
Azory	azur
Aš	Iša,Mikoš,šek,eses,šos,Reš
Ašanin	Šan,Šanov,ašant,šanovat,šance,zašancovat,fan
Ašikaga	šikana
Babel	babit,Babice,Babík,baba,zbabět,Babán,bábita,babičkovat,bába,Bába
Babice	babit,babičkovat,Babík,bábita,baba,Bába,bába,Babák,Babán,Babel,babočka,babičkovatět,Babiš
Babiš	Babík,Babice
Babák	baba,Babán,Bába,bába,Babík,Babice,babit,babičkovat,babočka,bábita
Babán	Babák,baba,Bába,bába,Babík,babit,Babice,babičkovat,Babel,bábita
Babík	babičkovat,babit,Babice,Babák,baba,Babán,Bába,bába,bábita,babočka,Babel,babičkovatět,Babiš,zababčit,zbabět
Bach	bachař,bácnout,bača,bachor
Badal	bádat,zbadat
Badar	bazar,bádat
Bahamy	hamba
Bajt	báje,bajlovat,bájit
Baktrie	bakterie
Balakov	Balák
Balbín	albín
Balej	balet,balit,Bali,balík,Balint,balsa
Bali	Balt,balík,bál,Balint,balit,Balej,balsa,bača,balistika
Balint	Bali,balit,balík,bylina,Balej,Balt
Baloun	balon,balonář,Balúč,Balzac,balón
Balt	Bali,bál,balík,Balák,Balint,bača
Balzac	balzám,balon,Baloun,balón
Balák	Balakov,balík,balancovat,Balt,balalajka
Balúč	Baloun
Bambar	Bamber,bambus
Bamber	Bambar
Bantu	bantovat,banka,bán,báň,banát,banán,baňka
Baranj	Barina,zabaranit,aranžér
Barbora	barbar
Bardejov	bard,Bardot,barbar,Barma
Bardot	bard,Bardejov,barbar,baroko
Barina	bariéra,Baranj
Barma	barman,baryum,barbar,bard,Bardejov
Barnabáš	Barnum
Barnum	baryum,Barnabáš
Bartes	Barthes,barter,Barták,Bárta,Bárt
Barthes	Bartes
Bartončík	Bartoň
Bartoň	Bartončík,barter,Bárta,baryton
Barták	Bárta,Bartes
Bask	bas
Batak	batika
Bates	batika
Bašek	Baška
Baška	Bašek,bašta,bag
Baťa	Baťka,bača,batika,bát
Baťka	Baťa,bača
Bažant	bažit
Bednár	bedna
Belize	Bíl,bílý,Ábel
Ben	Benák,bé,benzín,Benátky,bez,bečka,bít,Bend,bit,binknout,Eben,Bynov,bejvat,beat,běl,obec,oběť,boj,bílý,být
Bend	Benák,benzín,Benátky,Ben,zabendit,probendit
Beneš	Benák,Benátky
Benák	Benátky,Ben,Bend,bé,Beneš,bečka,binknout,beat,bez,bit,benzín
Benátky	Benák,Ben,Bend,Beneš,bé,bečka
Berber	Berg,Bereza,Berija
Bereza	Berg,Berber
Berg	Bereza,Bergen,Berber,berle
Bergen	Berg
Berija	Berber
Berlín	berle
Bernhard	bernardýn
Bethan	beton
Bican	bicanovatět
Bikey	bikovat,biker
Blahynka	blahý,bláha
Blanka	blána,Blansko,blanket,blata,Blatnice,Blatný,bláto,bláha,Blažek
Blansko	Blanka,blána,blanket,blata,bláto,Blatný,Blatnice
Blatnice	blata,Blatný,bláto,blána,blátovatět,Blanka,bláha,zablátit,Blansko
Blatný	blata,Blatnice,bláto,blátovatět,zablátit,blána,Blanka,bláha,Blansko,rozblátit
Blažek	bláha,blahý,Blanka
Bob	nabob,bobař,bobr,bůh,Bober
Bober	bobař,bobr,Bob,bob
Bobula	bula
Bohdal	Bohdan
Bohdan	Bohdal
Bojan	boj,zbojník
Bolev	bolet,Bolívie
Bolivián	Bolívie
Bolívar	Bolívie
Bolívie	Bolev,Bolivián,bolívar,Bolívar,bolet
Bombaj	bomba,bombast
Bond	Bondy,bonznout,bonzák,bon
Bondy	Bond,bonzák,bonbón,bonsaj,bon,bonznout,bunda,bonita
Boole	boule
Borat	borec,Born,bor,Borovan,bořit,Zborný,Zborov,zodbornit,borůvka,Oborný,bordel,bortit
Bordovice	Borodin,bordel
Borges	borec
