# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'derivation' list

derivation	parent
acetát#NNI??-----A---?	aceton#NNI??-----A---?
acetylen#NNI??-----A---?	aceton#NNI??-----A---?
administrativa#NNF??-----A---?	administrace#NNF??-----A---?
agentura#NNF??-----A---?	agent#NNM??-----A---?
aminokyselina#NNF??-----A---?	amin#NNI??-----A---?
anoncovat#V????--??-??B??	anonce#NNF??-----A---?
antikvární#AA???----??---?	antikvariát#NNI??-----A---?
aparatura#NNF??-----A---?	aparát#NNI??-----A---?
apelovat#V????--??-??I??	apel#NNI??-----A---?
askeze#NNF??-----A---?	asketa#NNM??-----A---?
bacilonosič#NNM??-----A---?	bacil#NNI??-----A---?
bakteriologie#NNF??-----A---?	bakterie#NNF??-----A---?
balkonový#AA???----??---?	balkon#NNI??-----A---?
bank#NNI??-----A---?	banka#NNF??-----A---?
barman#NNM??-----A---?	bar#NNI??-----A---?
beránek#NNM??-----A---?	beran#NNM??-----A---?
beatifikovat#V????--??-??B??	beatifikace#NNF??-----A---?
benzol#NNI??-----A---?	benzin#NNI??-----A---?
benzen#NNI??-----A---?	benzin#NNI??-----A---?
berunka#NNF??-----A---?	beruška#NNF??-----A---?
blafat#V????--??-??I??	blaf#NNI??-----A---?
blahobyt#NNI??-----A---?	blahý#AA???----1?---?
blahořečit#V????--??-??I??	blahý#AA???----1?---?
blb#NNM??-----A---?	blbý#AA???----??---?
vyblednout#V????--??-??P??	bledý#A????----??---?
bleskat#V????--??-??I??	blesk#NNI??-----A---?
blokovat#V????--??-??I??	blok#NNI??-----A---?
blufovat#V????--??-??I??	bluf#NNI??-----A---?
blatouch#NNI??-----A---?	bláto#NNN??-----A---?
blata#NNNP?-----A---?	bláto#NNN??-----A---?
blížit#V????--??-??I??	blízký#A????----??---?
bonbonek#NNI??-----A---?	bonbon#NNI??-----A---?
brept#NNI??-----A---?	breptat#V????--??-??I??
buclík#NNM??-----A---?	buclatý#AA???----??---?
buvolí#AA???----1?---?	buvol#NNM??-----A---?
oběhnout#V????--??-??P??	běžet#V????--??-??I??
přiběhnout#V????--??-??P??	běžet#V????--??-??I??
cenzor#NNM??-----A---?	cenzura#NNF??-----A---?
cenzus#NNI??-----A---?	cenzura#NNF??-----A---?
chlopňovitý#AA???----??---?	chlopeň#NNF??-----A---?
chumlat#V????--??-??I??	chumel#NNI??-----A---?
chundelatý#AA???----??---?	chundel#NNI??-----A---?
znechutit#V????--??-??P??	chuť#NNF??-----A---?
chámovod#NNI??-----A---?	chám#NNI??-----A---?
cirkulář#NNI??-----A---?	cirkulovat#V????--??-??I??
citrus#NNI??-----A---?	citron#NNI??-----A---?
cumel#NNI??-----A---?	cumlat#V????--??-??I??
cívka#NNF??-----A---?	céva#NNF??-----A---?
cílevědomý#AA???----??---?	cíl#NNI??-----A---?
necita#NNM??-----A---?	cítit#V????--??-??I??
dalekohled#NNI??-----A---?	daleký#A????----??---?
oddálit#V????--??-??P??	daleký#A????----??---?
dekoltáž#NNF??-----A---?	dekolt#NNI??-----A---?
delikvent#NNM??-----A---?	delikt#NNI??-----A---?
dentista#NNM??-----A---?	dentální#AA???----1?---?
denunciant#NNM??-----A---?	denuncovat#V????--??-??B??
depozice#NNF??-----A---?	deponovat#V????--??-??B??
deskripce#NNF??-----A---?	deskriptivní#AA???----1?---?
despocie#NNF??-----A---?	despota#NNM??-----A---?
destruktivní#AA???----??---?	destrukce#NNF??-----A---?
dezertní#AA???----??---?	dezert#NNI??-----A---?
difundovat#V????--??-??I??	difúze#NNF??-----A---?
divoženka#NNF??-----A---?	divý#AA???----??---?
dluhopis#NNI??-----A---?	dluh#NNI??-----A---?
drc#NNI??-----A---?	drcat#V????--??-??I??
drezér#NNM??-----A---?	drezura#NNF??-----A---?
driblink#NNI??-----A---?	driblovat#V????--??-??I??
podruhé#Db------------?	druhý#AA?????????????
poddubák#NNI??-----A---?	dub#NNI??-----A---?
dřevařina#NNF??-----A---?	dřevo#NNN??-----A---?
emfatický#AA???----??---?	emfáze#NNF??-----A---?
epický#AA???----??---?	epos#NNI??-----A---?
