černorudý 	 čern-o-rud-ý 	 černo-rud-ý
zkáznit 	 z-káz-n-i-t 	 z-kázn-i-t
prací 	 prac-í 	 pra-c-í
meziprostoru 	 mezi-prostor-u 	 mezi-pro-stor-u
wikipedie 	 wiki-pedi-e 	 wikiped-i-e
kozelcovat 	 koz-el-c-ova-t 	 kozelc-ova-t
radikálně 	 radikál-n-ě 	 radik-ál-n-ě
tkalcovat 	 tk-a-l-c-ova-t 	 t-kalc-ova-t
skaný 	 skan-ý 	 ska-n-ý
škrdla 	 škrdl-a 	 škrd-l-a
vanout 	 va-nou-t 	 van-ou-t
lasík 	 las-ík 	 lasík
sovětizovat 	 so-vět-iz-ova-t 	 sovět-iz-ova-t
chlípný 	 chlípn-ý 	 chlíp-n-ý
aquilejský 	 aquilej-sk-ý 	 aquilejsk-ý
technokultura 	 techn-o-kult-ur-a 	 techno-kult-ur-a
kontraindikace 	 kontra-in-dik-ac-e 	 kontra-indik-ac-e
letitý 	 let-it-ý 	 let-i-t-ý
lehkovznětlivě 	 lehk-o-vz-nět-liv-ě 	 leh-k-o-vz-nět-liv-ě
satirizovat 	 satir-iz-ova-t 	 sat-ir-iz-ova-t
pupila 	 pupil-a 	 pupi-l-a
presso 	 press-o 	 presso
funebráků 	 fun-ebr-ák-ů 	 fune-brák-ů
ruština 	 ruš-t-in-a 	 rušt-in-a
holocén 	 holo-cén 	 holocén
formosu 	 formos-u 	 form-os-u
stráský 	 strás-k-ý 	 strásk-ý
hrají 	 hra-j-í 	 hraj-í
stokoruna 	 st-o-korun-a 	 sto-korun-a
dvojče 	 dvoj-če 	 dv-oj-č-e
osobám 	 osob-ám 	 osob-á-m
podlec 	 podl-ec 	 pod-lec
zoubkovat 	 zoub-k-ova-t 	 z-oub-k-ova-t
pětisegmentový 	 pět-i-segment-ov-ý 	 pět-i-seg-ment-ov-ý
angažován 	 angaž-ová-n 	 an-gaž-ová-n
příční 	 příčn-í 	 příč-n-í
ukrajina 	 ukrajin-a 	 u-kraj-in-a
marie 	 mari-e 	 mar-i-e
fotoreportáž 	 fot-o-re-port-áž 	 foto-re-port-áž
kriminál 	 kriminál 	 krimin-ál
zmaškařit 	 z-mašk-ař-i-t 	 z-maš-k-ař-i-t
západočínský 	 zá-pad-o-čín-sk-ý 	 zá-pado-čín-sk-ý
princezničko 	 princezn-ičk-o 	 princ-ez-n-ič-k-o
vodolově 	 vodolov-ě 	 vod-olov-ě
odvracení 	 od-vrac-e-n-í 	 od-vrac-en-í
vyrovnaný 	 vy-rovn-a-n-ý 	 vy-rov-n-a-n-ý
keithovi 	 keith-ovi 	 keithovi
ovečka 	 oveč-k-a 	 ovečk-a
námořník 	 ná-moř-n-ík 	 ná-moř-ník
respektive 	 respektive 	 re-spekt-iv-e
pancharte 	 panchart-e 	 pancharte
