# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

# WARNING - its complicated and the anotation was made really quickly by average person, not linguist!

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# $ the direction of derivation should be opposite
# & probably same common parent, or same ending, beginning - byrokracie, aristokracie or aerodynamický, aeroplán
# others are probably correct

derivation	parent
&apatie#NNF??-----A---?	telepatie#NNF??-----A---?
*technika#NNF??-----A---?	architekt#NNM??-----A---?
*tesat#V????--??-??I??	architekt#NNM??-----A---?
*kampaň#NNF??-----A---?	šampaňské#NNN??-----A---?
*žampion#NNI??-----A---?	šampaňské#NNN??-----A---?
&dominovat#V????--??-??B??	dominikán#NNM??-----A---?
*důra#NNF??-----A---?	dorota#NNF??-----A---?
*filuta#NNM??-----A---?	filip#NNM??-----A---?
*fiškus#NNM??-----A---?	filip#NNM??-----A---?
*fištrón#NNI??-----A---?	filip#NNM??-----A---?
*kandelábr#NNI??-----A---?	františek#NNI??-----A---?
*kandidát#NNM??-----A---?	františek#NNI??-----A---?
$frank#NNI??-----A---?	františkán#NNM??-----A---?
*káča#NNF??-----A---?	janek#NNM??-----A---?
@madam#NNFXX-----A----	madona#NNF??-----A---?
*polonéza#NNF??-----A---?	polka#NNF??-----A---?
$don#NNM??-----A---?	donkichot#NNM??-----A---?
*šváb#NNM??-----A---?	rus#NNM??-----A---?
*růže#NNF??-----A---?	rus#NNM??-----A---?
*rusý#AA???----??---?	rus#NNM??-----A---?
*němý#AA???----??---?	Slovan#NNI??-----A---?
titan#NNI??-----A---?	titán#NNM??-----A---?
*plutonium#NNN??-----A---?	uran#NNI??-----A---?
*abbé#NNM??-----A---?	abatyše#NNF??-----A---?
*opat#NNM??-----A---?	abatyše#NNF??-----A---?
*jeptiška#NNF??-----A---?	abatyše#NNF??-----A---?
*dedikovat#V????--??-??I??	abdikace#NNF??-----A---?
*indikovat#V????--??-??B??	abdikace#NNF??-----A---?
*alfabeta#NNF??-----A---?	abeceda#NNF??-----A---?
@azbuka#NNF??-----A---?	abeceda#NNF??-----A---?
&breviář#NNI??-----A---?	abreviace#NNF??-----A---?
&korupce#NNF??-----A---?	abrupce#NNF??-----A---?
*proces#NNI??-----A---?	absces#NNI??-----A---?
&esence#NNF??-----A---?	absence#NNF??-----A---?
&absolvovat#V????--??-??B??	absolutní#AA???----??---?
*rezoluce#NNF??-----A---?	absolutní#AA???----??---?
abstence#NNF??-----A---?	abstinent#NNM??-----A---?
*kontrakt#NNI??-----A---?	abstraktní#AA???----??---?
&trakt#NNI??-----A---?	abstraktní#AA???----??---?
ocet#NNI??-----A---?	aceton#NNI??-----A---?
*ostrý#AA???----??---?	aceton#NNI??-----A---?
@aceton#NNI??-----A---?	acylpyrin#NNI??-----A---?
*koherence#NNF??-----A---?	adheze#NNF??-----A---?
$justice#NNF??-----A---?	adjustovat#V????--??-??I??
emír#NNM??-----A---?	admirál#NNM??-----A---?
*alimenty#NNIP?-----A---?	adolescence#NNF??-----A---?
*koalice#NNF??-----A---?	adolescence#NNF??-----A---?
*opce#NNF??-----A---?	adoptovat#V????--??-??P??
*dres#NNI??-----A---?	adresa#NNF??-----A---?
*region#NNI??-----A---?	adresa#NNF??-----A---?
*regulovat#V????--??-??I??	adresa#NNF??-----A---?
*arogance#NNF??-----A---?	adresa#NNF??-----A---?
*konvence#NNF??-----A---?	advent#NNI??-----A---?
*prevence#NNF??-----A---?	advent#NNI??-----A---?
*eventuální#AA???----??---?	advent#NNI??-----A---?
*vokativ#NNI??-----A---?	advokát#NNM??-----A---?
*vokál#NNI??-----A---?	advokát#NNM??-----A---?
*dynastie#NNF??-----A---?	aerodynamický#AA???----??---?
*planeta#NNF??-----A---?	aeroplán#NNI??-----A---?
*fáma#NNF??-----A---?	afázie#NNF??-----A---?
*infantilní#AA???----1?---?	afázie#NNF??-----A---?
&defekt#NNI??-----A---?	afekt#NNI??-----A---?
*satisfakce#NNF??-----A---?	afekt#NNI??-----A---?
&prefix#NNI??-----A---?	afix#NNI??-----A---?
*krucifix#NNI??-----A---?	afix#NNI??-----A---?
*horizont#NNI??-----A---?	aforismus#NNI??-----A---?
@aorist#NNI??-----A---?	aforismus#NNI??-----A---?
frikativa#NNF??-----A---?	afrikáta#NNF??-----A---?
$frikce#NNF??-----A---?	afrikáta#NNF??-----A---?
afekt#NNI??-----A---?	aféra#NNF??-----A---?
agent#NNM??-----A---?	agenda#NNF??-----A---?
agitovat#V????--??-??I??	agenda#NNF??-----A---?
akce#NNF??-----A---?	agenda#NNF??-----A---?
$glóbus#NNI??-----A---?	aglomerace#NNF??-----A---?
&gnóma#NNN??-----A---?	agnosticismus#NNI??-----A---?
*ignorovat#V????--??-??I??	agnosticismus#NNI??-----A---?
*kongregace#NNF??-----A---?	agregát#NNI??-----A---?
&kongres#NNI??-----A---?	agrese#NNF??-----A---?
*ingredience#NNF??-----A---?	agrese#NNF??-----A---?
*akr#NNI??-----A---?	agrární#AA???----1?---?
*kantor#NNM??-----A---?	akcent#NNI??-----A---?
*kantáta#NNF??-----A---?	akcent#NNI??-----A---?
*šanson#NNI??-----A---?	akcent#NNI??-----A---?
*recept#NNI??-----A---?	akceptovat#V????--??-??B??
*kapacita#NNF??-----A---?	akceptovat#V????--??-??B??
*princip#NNI??-----A---?	akceptovat#V????--??-??B??
@akt#NNI??-----A---?	akcie#NNF??-----A---?
&deklamovat#V????--??-??I??	aklamace#NNF??-----A---?
&komoda#NNF??-----A---?	akomodace#NNF??-----A---?
akordeon#NNI??-----A---?	akord#NNI??-----A---?
*konkordát#NNI??-----A---?	akord#NNI??-----A---?
&rekord#NNI??-----A---?	akord#NNI??-----A---?
*kuráž#NNF??-----A---?	akord#NNI??-----A---?
akurátní#AA???----??---?	akorát#Db------------?
kúra#NNF??-----A---?	akorát#Db------------?
$kredit#NNI??-----A---?	akreditovat#V????--??-??B??
*akronymum#NNN??-----A---?	akrobat#NNM??-----A---?
*báze#NNF??-----A---?	akrobat#NNM??-----A---?
*hať#NNF??-----A---?	akrobat#NNM??-----A---?
$samet#NNI??-----A---?	aksamit#NNI??-----A---?
*agilní#AA???----??---?	aktivní#AA???----??---?
&viadukt#NNI??-----A---?	akvadukt#NNI??-----A---?
*redukce#NNF??-----A---?	akvadukt#NNI??-----A---?
$marína#NNF??-----A---?	akvamarín#NNI??-----A---?
&inkvizice#NNF??-----A---?	akvizice#NNF??-----A---?
@rekvizita#NNF??-----A---?	akvizice#NNF??-----A---?
*armáda#NNF??-----A---?	alarm#NNI??-----A---?
*albín#NNM??-----A---?	album#NNN??-----A---?
*alergie#NNF??-----A---?	alegorie#NNF??-----A---?
&kategorie#NNF??-----A---?	alegorie#NNF??-----A---?
*ambulance#NNF??-----A---?	alej#NNF??-----A---?
*poněkud#Db-------------	aspoň#Db-------------
@liga#NNF??-----A---?	aliance#NNF??-----A---?
@alibi#NNNXX-----A----	alias#NNI??-----A---?
*alternativa#NNF??-----A---?	alias#NNI??-----A---?
$litera#NNF??-----A---?	aliterace#NNF??-----A---?
*cyankáli#NNNXX-----A----	alka#NNF??-----A---?
altán#NNI??-----A---?	alt#NNI??-----A---?
oltář#NNI??-----A---?	alt#NNI??-----A---?
*amatér#NNM??-----A---?	amant#NNM??-----A---?
@ambice#NNF??-----A---?	ambasáda#NNF??-----A---?
*valuta#NNF??-----A---?	ambivalentní#AA???----??---?
*mřít#V????--??-??I??	ambrózie#NNF??-----A---?
*med#NNI??-----A---?	ametyst#NNI??-----A---?
&amfiteátr#NNI??-----A---?	amfora#NNF??-----A---?
*fosfor#NNI??-----A---?	amfora#NNF??-----A---?
&metafora#NNF??-----A---?	amfora#NNF??-----A---?
&anamnéza#NNF??-----A---?	amnestie#NNF??-----A---?
&morfologie#NNF??-----A---?	amorfní#AA???----??---?
*amplituda#NNF??-----A---?	amplion#NNI??-----A---?
*kronika#NNF??-----A---?	anachronismus#NNI??-----A---?
*neuralgie#NNF??-----A---?	analgetikum#NNN??-----A----
$logika#NNF??-----A---?	analogie#NNF??-----A---?
*logaritmus#NNI??-----A---?	analogie#NNF??-----A---?
monarchie#NNF??-----A---?	anarchie#NNF??-----A---?
*archiv#NNI??-----A---?	anarchie#NNF??-----A---?
@dichotomie#NNF??-----A---?	anatomie#NNF??-----A---?
$atom#NNI??-----A---?	anatomie#NNF??-----A---?
@evangelium#NNN??-----A---?	anděl#NNM??-----A---?
*edice#NNF??-----A---?	anekdota#NNF??-----A---?
$konexe#NNF??-----A---?	anektovat#V????--??-??B??
*estetika#NNF??-----A---?	anestézie#NNF??-----A---?
@animovat#V????--??-??I??	animální#AA???----??---?
*animální#AA???----??---?	animozita#NNF??-----A---?
@nuncius#NNM??-----A---?	anonce#NNF??-----A---?
@denuncovat#V????--??-??B??	anonce#NNF??-----A---?
*homo#NNMXX-----A----	anomálie#NNF??-----A---?
&seudonym#NNI??-----A---?	anonym#NNM??-----A---?
*metonymie#NNF??-----A---?	anonym#NNM??-----A---?
*onomastika#NNF??-----A---?	anonym#NNM??-----A---?
&nota#NNF??-----A---?	anotace#NNF??-----A---?
&notes#NNI??-----A---?	anotace#NNF??-----A---?
*simultánní#AA???----1?---?	ansámbl#NNI??-----A---?
*asimilovat#V????--??-??B??	ansámbl#NNI??-----A---?
@analogie#NNF??-----A---?	antologie#NNF??-----A---?
*chryzantéma#NNF??-----A---?	antologie#NNF??-----A---?
&participovat#V????--??-??I??	anticipovat#V????--??-??B??
&antikvariát#NNI??-----A---?	antika#NNF??-----A---?
*alkohol#NNI??-----A---?	antimon#NNI??-----A---?
&synonymum#NNN??-----A---?	antonymum#NNN??-----A---?
&bienále#NNNXX-----A----	anály#NNIP?-----A---?
*meteor#NNI??-----A---?	aorta#NNF??-----A---?
*kumpán#NNM??-----A---?	apanáž#NNF??-----A---?
*marcipán#NNI??-----A---?	apanáž#NNF??-----A---?
