pískovištích	písk ov išt -ích	pískoviště	písk ov išt -ě
tati	tat -i	táta	tát -a
tiskárnu	tisk árn -u	tiskárna	tisk árn -a
netrpělivě	ne trp ě liv -ě	trpělivě	trp ě liv -ý
neuznávajících	ne u zn á v aj íc -ích	uznávající	u zn á v aj íc -í
živí	ži v -í	živý	ži v -ý
drže	drž -e	držet	drž e -t
duchovního	duch ovn -ího	duchovní	duch ovn -í
hradbách	hrad b ách	hradba	hrad b -a
chladněji	chlad n ěj -i	chladno	chlad n -o
jatkami	jatk -ami	jatky	jatk -y
obešli	obe š l -i	obejít	obe jí -t
stoupněte	stoup ně -te	stoupnout	stoup nou -t
šachovnicích	šach ov nic -ích	šachovnice	šach ov nic -e
uřízněte	u říz ně -te	uříznout	u říz nou -t
zhasínají	z has í n aj -í	zhasínat	z has í n a -t
znepokojují	z ne po koj uj -í	znepokojovat	z ne po koj ova -t
hlouběji	hloub ěji	hluboce	hlub oc -e
žhavou	žhav -ou	žhavý	žhav -ý
vyňavše	vy ň a v -še	vyjmout	vy j mou -t
sletě	s let -ě	slet	s let -0
zeleně	zel en -ě	zeleň	zeleň -0
jablíčka	jablíč k -a	jablíčko	jablíč k -o
cílevědomější	cíl e věd om ějš -í	cílevědomý	cíl e věd om -ý
vyvinuli	vy vi nu l -i	vyvinout	vy vi nou -t
výš	výš	vysoko	vys ok -o
balkony	balkon -y	balkón	balkón
tau	tau	tao	ta -o
elysiem	elisi -em	elysium	elisi -um
odlehlejších	od leh l ejš -ích	odlehlý	od leh l -ý
schováš	s chov á -š	schovat	a chov a -t
admirála	admirál -a	admirál	admirál -0
neagitovala	ne agit ova l -a	agitovat	agit ova -t
agresi	agres -i	agrese	agres -e
americká	americ k -á	americký	americ k -ý
anima	anim -a	animum	anim -um
asfaltovou	asfalt ov -ou	asfaltový	asfalt ov -ý
autostopem	aut +o stop -em	autostop	aut +o stop -0
autobusu	auto bus -0	autobus	auto bus -0
bála	bá l -a	bát	bá -t
bázní	bá zn -í	bázeň	bá zeň -0
bahnišť	bahn išť -0	bahniště	bahn išt -ě
bále	bál -e	bál	bál -0
banálními	banál n -ími	banální	banál n -í
banditi	bandit -i	bandita	bandit -a
bankovek	bank ovek -0	bankovka	bank ovk -a
