absolventi 	 ab-solv-ent-i 	 ab-solvent-i
adami 	 adami 	 ad-ami
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
aktuálního 	 akt-uál-n-ího 	 akt-u-ál-n-ího
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 anta-l-a
anthony 	 anthony 	 anthon-y
argaláš 	 argaláš 	 argal-áš
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
atamanem 	 ataman-e-m 	 ataman-em
atlet 	 atlet 	 atl-et
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
bankovek 	 bank-ovek 	 bank-ov-ek
bankovním 	 bank-ovn-ím 	 bank-ov-n-í-m
barikádovat 	 barik-ád-ova-t 	 barikád-ova-t
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
bolení 	 bol-e-n-í 	 bol-en-í
božínku 	 bož-ín-k-u 	 božín-k-u
budiáf 	 budiáf 	 bud-iáf
budoucím 	 bud-ouc-ím 	 bud-ou-c-í-m
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bych 	 by-ch 	 bych
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-zn-ys
bývávaly 	 bý-v-á-v-a-l-y 	 bý-vá-v-a-l-y
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celo-ž-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chvástat 	 chvást-a-t 	 chvásta-t
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cácorka 	 các-or-k-a 	 cácor-k-a
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 dakty-lo-skop-i-e
dané 	 d-a-n-é 	 d-an-é
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
denním 	 den-n-í-m 	 den-n-ím
diavolo 	 diavolo 	 diavol-o
disciplíny 	 disciplín-y 	 dis-cipl-ín-y
diskařský 	 disk-ař-sk-ý 	 dis-k-ař-sk-ý
distanční 	 dis-tanč-n-í 	 distanč-n-í
divoši 	 div-oš-i 	 div-o-š-i
dkp 	 d-k-p 	 dkp
dober 	 do-ber 	 dober
dobrodiní 	 dobr-o-di-n-í 	 dobr-od-in-í
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dohromady 	 do-hromad-y 	 do-hro-mad-y
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dolnolužický 	 doln-o-luž-ick-ý 	 dol-n-o-luž-ick-ý
dotazníky 	 do-taz-ník-y 	 do-taz-n-ík-y
dozvíte 	 do-z-v-í-te 	 do-zví-te
druhém 	 druh-é-m 	 druh-ém
dušiček 	 duš-iček 	 duš-ič-ek
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-ná-sob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dv-ou-měs-íč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-oustr-a-n-ě
dynamika 	 dynam-ik-a 	 dynamik-a
dálkové 	 dál-k-ov-é 	 dál-k-ové
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dřeně 	 dřen-ě 	 dř-en-ě
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomové 	 eko-nom-ov-é 	 eko-nom-ové
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
epocha 	 epoch-a 	 e-po-ch-a
expansion 	 expansion 	 ex-pansion
faktorů 	 fakt-or-ů 	 faktor-ů
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farm-ac-eut-ic-k-é
fastfood 	 fast-food 	 fast-f-ood
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
fólie 	 fóli-e 	 fól-i-e
gastronomie 	 gastr-o-nom-i-e 	 gastr-onom-i-e
generál 	 gener-ál 	 generál
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessner-i-i
haló 	 haló 	 hal-ó
hejkavec 	 hejkavec 	 hejkav-ec
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnedle 	 hned-le 	 hned-l-e
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hoch-schul-e
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holandsku 	 holand-sk-u 	 holandsk-u
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horol-ez-c-i
horoucně 	 hor-ou-c-n-ě 	 hor-ouc-n-ě
horálek 	 horálek 	 horál-ek
houston 	 houston 	 houst-on
hra 	 hr-a 	 hra
hry 	 hr-y 	 hry
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
idejí 	 idej-í 	 id-ej-í
imigraci 	 i-migr-ac-i 	 imigrac-i
inaugurován 	 inaugur-ová-n 	 in-augur-ová-n
indikátorem 	 in-dik-át-or-em 	 indik-át-or-em
inovace 	 inov-ace 	 inov-ac-e
inspektor 	 in-spekt-or 	 in-spek-t-or
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
ivančic 	 ivan-č-ic 	 ivančic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
javelin 	 javelin 	 javel-in
jednak 	 jednak 	 jedn-ak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednou 	 jedn-ou 	 jed-n-ou
jejích 	 je-j-í-ch 	 jej-ích
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jmenují 	 jmen-u-j-í 	 jmen-uj-í
jídlo 	 jí-dl-o 	 jí-d-l-o
kapli 	 kapl-i 	 kap-l-i
kardašovy 	 kardašov-y 	 kardaš-ov-y
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-ov-í-kd-o
kdož 	 kdo-ž 	 k-d-o-ž
klesly 	 kles-l-y 	 klesl-y
klesne 	 kles-ne 	 kles-n-e
kliniky 	 klinik-y 	 klin-ik-y
klášterem 	 klášter-e-m 	 klášter-em
knížete 	 kníž-et-e 	 kníž-e-te
koho 	 k-o-ho 	 k-oho
kompetenci 	 kompet-enc-i 	 kompetenc-i
komu 	 k-o-mu 	 kom-u
konceptem 	 koncept-em 	 kon-cept-em
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontil-it-í
