zapisují;zapisovat
izolujte;izolovat
medajli;medaile
rozevřenýma;rozevřený
rozepsáno;rozepsat
počkejme;počkat
nevysypalo;vysypat
nepřijímejte;přijímat
maniokoví;maniokový
člunů;člun
nacvičováno;nacvičovat
brejliček;brejličky
vodě;voda
stoupněte;stoupnout
příčin;příčina
svalnatá;svalnatý
nedopřávalo;dopřávat
lidskejch;lidský
kuřat;kuře
nedávná;dávný
nedefinovatelné;definovatelný
voze;vůz
chytrá;chytrý
nehýbá;hýbat
vahou;váha
zavázali;zavázat
komoře;komora
šatech;šaty
uniformě;uniforma
řval;řvát
zaklepe;zaklepat
zavrtí;zavrtět
protivíš;protivit
pohybuje;pohybovat
uschopňují;uschopňovat
ramena;rameno
předválečné;předválečný
nezařaditelní;zařaditelný
dokonalému;dokonalý
plavidlech;plavidlo
vyvracela;vyvracet
červených;červený
mudrcové;mudrc
duchnách;duchna
bezkrevné;bezkrevný
výslechů;výslech
oblohy;obloha
vyrostlo;vyrůst
neplacení;placený
národního;národní
šálku;šálek
nakládají;nakládat
nenutím;nutit
netopýři;netopýr
tlouštíka;tlouštík
přihnul;přihnout
vykašlem;vykašlat
doktore;doktor
natřásalo;natřásat
poslouchám;poslouchat
výmluvností;výmluvnost
trav;tráva
hladí;hladit
neuspořádané;uspořádaný
drže;držet
bláznivého;bláznivý
koberci;koberec
klíče;klíč
havrani;havran
složena;složit
snědl;sníst
knihovny;knihovna
odvrací;odvracet
neohrabané;ohrabaný
shodovalo;shodovat
bigbítovej;bigbítový
neořou;orat
prodáme;prodat
zalejváte;zalejvat
temnotě;temnota
vědoma;vědomý
halou;hala
bolestí;bolest
úroky;úrok
keřů;keř
zasmáli;zasmát
chvěním;chvění
zabedněnce;zabedněnec
krámku;krámek
přítěží;přítěž
zátoky;zátoka
prošli;projít
ujedou;ujet
prohlédlo;prohlédnout
námahou;námaha
zedníkům;zedník
usměje;usmát
nehodlám;hodlat
lihem;líh
želízky;želízko
vzdychá;vzdychat
obohacen;obohatit
dovoluji;dovolovat
rozpomněli;rozpomenout
lístečcích;lísteček
hučí;hučet
cítil;cítit
výstavě;výstava
paměti;paměť
přepíšete;přepsat
přísahám;přísahat
kdykoliv;kdykoli
sedí;sedět
popřel;popřít
nespokojeností;nespokojenost
zničeného;zničený
kožichu;kožich
bandža;bendžo
kyčli;kyčel
cestuji;cestovat
casy;casus
hlupáci;hlupák
otče;otec
zaznamenej;zaznamenat
nezasluhuje;zasluhovat
uspokojen;uspokojit
zval;zvát
jatkami;jatky
faraónova;faraónův
umístěny;umístit
ženské;ženská
mundúrech;mundúr
mýlí;mýlit
znalostí;znalost
drobečky;drobeček
kritici;kritik
nezapomínejte;zapomínat
bolnému;bolný
přestěhují;přestěhovat
rivalové;rival
žebrákům;žebrák
hříchů;hřích
privilegia;privilegium
sekyrou;sekyra
sluhu;sluha
uvidíte;uvidět
nezasténal;zasténat
toužil;toužit
synu;syn
zatkneme;zatknout
prasklo;prasknout
nechutnalo;chutnat
přinesla;přinést
sklepě;sklep
sabotáže;sabotáž
dočkáte;dočkat
strání;stráň
přečetl;přečíst
loveckou;lovecký
zástěrce;zástěrka
přestal;přestat
nabyla;nabýt
starosti;starost
medvídcích;medvídek
podrobuji;podrobovat
rozvinulo;rozvinout
řídícímu;řídící
okupována;okupovat
nenapravitelně;napravitelně
líbila;líbit
potěšen;potěšit
třela;třít
lodi;loď
etatismu;etatismus
ukážu;ukázat
visely;viset
vyloučeni;vyloučit
nepohodlných;pohodlný
brýlemi;brýle
nezvyklými;nezvyklý
jarmarce;jarmark
