vysoudit	vy-soud-i-t
břetislav	břetislav
prvočísla	prv-o-čísl-a
upracovat	u-prac-ova-t
naškrobit	na-škrob-i-t
sukně	sukn-ě
pepa	pep-a
tendenci	tend-enc-i
generálními	generál-n-ími
huby	hub-y
sporty	sport-y
přehradit	pře-hrad-i-t
tón	tón
přecházejí	pře-cház-ej-í
odvlíkat	od-vlík-a-t
metamfetamin	met-amfetamin
rozezlít	roze-zl-í-t
zbytkové	z-by-t-k-ov-é
extraliga	extra-lig-a
očima	oč-ima
ohlásím	o-hlás-í-m
rozprávět	roz-práv-ě-t
žití	ži-t-í
černých	čern-ých
lapit	lap-i-t
namanout	na-man-ou-t
nejčinnějších	nej-čin-n-ěj-š-ích
phoenix	phoenix
delegovat	de-leg-ova-t
zaplakalo	za-plak-a-l-o
zaúkolovat	za-ú-kol-ova-t
zapolítnout	za-po-lít-n-out
nadzdvihat	nad-zdvih-a-t
svobody	svobod-y
studie	stud-i-e
juraj	juraj
pookřívat	po-okř-í-v-a-t
přeškolkovat	pře-škol-k-ova-t
rozčechrávat	roz-čechr-á-v-a-t
popisům	po-pis-ům
zažrat	za-žr-a-t
hřad	hřad
vypolštářovat	vy-polštář-ova-t
později	pozd-ěji
poplivávat	po-pliv-á-v-a-t
velezkušený	vele-zkuš-en-ý
podojit	po-doj-i-t
mochna	mochn-a
zahřměl	za-hřm-ě-l
známkovat	znám-k-ova-t
přečtení	pře-čt-en-í
vykoukla	vy-kouk-l-a
eeg	e-e-g
předkládání	před-klád-á-n-í
produktovod	pro-dukt-o-vod
devátého	devát-ého
interpretaci	inter-pret-ac-i
devatenáctiletý	devate-náct-i-let-ý
opilcům	o-pi-l-c-ům
mohou	moh-ou
mašinérie	mašin-ér-i-e
amatakkulchai	amatakkulchai
lítostí	lít-ost-í
zadunět	za-dun-ě-t
prokvést	pro-kvést
obeznamovat	obe-znam-ova-t
odclonit	od-clon-i-t
rozpůlit	roz-půl-i-t
ztjatila	z-tjat-i-l-a
indeterminismus	in-de-termin-ism-us
sjet	s-je-t
blábolit	blábol-i-t
koncertní	koncert-n-í
vykysat	vy-kys-a-t
odstopkovat	od-sto-p-kov-at
nenávidí	ne-ná-vid-í
modrých	modr-ých
šos	šos
zúčastňovat	z-ú-čast-ň-ova-t
šmátrat	šmátr-a-t
radiodispečink	radi-o-dispeč-ink
uslyšet	u-slyš-e-t
streisandová	streisand-ov-á
nasolovat	na-sol-ova-t
nemotivované	ne-motiv-ova-n-é
odpromovat	od-pro-m-ova-t
štábu	štáb-u
tetraetylolovo	tetra-etyl-olov-o
macho	mach-o
diashow	dia-show
rekomandovat	re-komand-ova-t
vyhnisat	vy-hnis-a-t
státy	stát-y
občanům	obč-an-ům
dloubala	dloub-a-l-a
přiseknout	při-sek-nou-t
vždyť	vždyť
rozjitřit	roz-jitř-i-t
doměřit	do-měř-i-t
trůn	trůn
třemi	tř-emi
narkotizovat	nark-ot-iz-ova-t
prosolit	pro-sol-i-t
zpanákovat	z-pan-ák-ova-t
zabasovat	za-bas-ova-t
končit	konč-i-t
celodenní	cel-o-den-n-í
schwarzenberg	schwarzen-berg
odnesli	od-nes-l-i
obležen	ob-lež-en
hybridizující	hybrid-iz-uj-íc-í
kritizovala	krit-iz-ova-l-a
pokojem	po-koj-em
práceschopný	prác-e-s-chop-n-ý
zbalamutit	z-balamut-i-t
rizikového	rizik-ov-ého
odečtení	ode-čt-en-í
nora	nor-a
přivléknout	při-vlék-nou-t
prorentgenovat	pro-rentgen-ova-t
zrosolovatět	z-rosol-ov-at-ě-t
protisankcemi	proti-sankc-emi
rozežhavit	roze-žh-av-i-t
čidel	či-del
zakoupit	za-koup-i-t
domluví	do-mluv-í
paralyzovat	para-lyz-ova-t
zarděla	za-rd-ě-l-a
organizováním	organ-iz-ová-n-ím
okolní	o-kol-n-í
nachovýtrusný	nach-o-vý-trus-n-ý
živočich	živ-o-čich
černý	čern-ý
okruhu	o-kruh-u
přičíst	při-číst
kondenzátor	kondenz-átor
proporce	pro-porc-e
chlastat	chlast-a-t
ujezdit	u-jezd-i-t
zesmutňovat	ze-smut-ň-ova-t
západoatlantský	zá-pad-o-atlant-sk-ý
vyplivnout	vy-pliv-nou-t
maminčiny	mam-in-č-in-y
benziny	benzin-y
signalizovat	sign-al-iz-ova-t
recidivovat	re-cid-iv-ova-t
odcinkat	od-cink-a-t
prolítávat	pro-lít-á-v-a-t
saruky	saruk-y
scípnout	scíp-nou-t
spool	spool
zošklivovat	z-oškl-iv-ova-t
rychlý	rychl-ý
andreas	andreas
rupat	rup-a-t
placení	plac-en-í
utváření	u-tvář-en-í
vzdávám	vz-d-á-v-á-m
