šestipencový	šestipence
osmačtyřicetibitový	osmačtyřicetibytový
osmačtyřiceticentimetrový	osmačtyřicetimetrový
osmašedesáticentimetrový	osmašedesátimetrový
šestidecový	šestice
šestatřiceticentimetrový	šestatřicetimetrový
nadlinkový	nadlinka, linka, linkový
modrovínový	modrý
protiledovcový	protiledový
protikrizový	krizový
protiokusový	protikus
protiplísňový	plísňový
lilákový	lilík
průtkový	průtok
čtyřvěžový	čtyřvěží
learningový	learning
čtyřtlačítkový	čtyřtlačítko
pyrimidonový	pyrimidin
čtyřmiliardový	čtyrmiliardový
čtyřkošový	čtyrka
čtyřjádrový	čtyřjádro
čtyřkajutový	tříkajutový
čtyřicetipětimilimetrový	čtyřicetimilimetrový
čtyřiašedesáticentimetrový	čtyřiašedesátimetrový
čtyřiačtyřiceticentimetrový	čtyřiačtyřicetimetrový
čtyřiatřicetimiliónový	čtyřiatřicetimilionový
čtyřiadvacetimiliardový	čtyřiadvacetimilionový
čtyřiadvaceticentimetrový	čtyřiadvacetina
pětačtyřiceticentimetrový	pětačtyřicetimetrový
předobědový	obědově, obědový
předodběrový	odběrový
předoddavkový	oddavkový
přednárazový	nárazový, náraz
předodlukový	odlukový
předopatrový	podpatrový
klihkový	klih, klivka
předpovodňový	povodňový, podvodný
předprahový	prahový
předpohárový	pohárový, pohár
předpotratový	potratový, potrat
předpostelový	postelový, poletový
předpříletový	příletový, přeletový, přílet
předreferendový	referendový
předroznáškový	roznáškový
předrozpadový	rozpadový, rozpad
předsklizňový	sklizňový, sklizeň
předsrpnový	srpnový
předstonkový	stonkový, tonkový, stonek
předtermínový	termínový, termín, předtermín
předvýznakový	význakový, význak
jednočarový	jednočarý
předzápisový	zápisový, zápis
předzáchvatový	záchvatový, záchvat, záchvatný
předzákazový	zákazový, zákaz
předúrazový	úrazový, úraz
předříjnový	říjnový, jít
předšampionátový	šampionátový
předškolkový	školkový, školka, folkový
jedenačtyřiceticentimetrový	jedenačtyřicetimetrový
zápřahový	zápřah
příhrádkový	příhrádka, příhrada
zámyšový	zámys
expřeborový	přeborový, přebor
dvouštítový	dvojštít, dvojštítový
dvouáčkový	dvojáček
dvouznakový	dvojznak
sedmadvaceticentimetrový	sedmadvacetimetrový
acetylcelulosový	acetylcelulosa
sedmapadesátimiliónový	sedmapadesátimilionový
dvousetpadesátimiliónový	dvousetpadesátimilionový
dvousetosmimiliónový	dvousetosmimilionový
sedmdesátipěticentimetrový	sedmdesátipětimetrový
antidumpigový	dampingový
antiplakový	plak
sedmdesátipětimilimetrový	sedmdesátimilimetrový
dvousetdevadesátimiliónový	dvousetdevadesátimilionový
dvousazbový	dvojsazbový, dvojsazba
dvouranový	dvojranový
dvouoscarový	dvojoscarový
dvoukurtový	dvojkurt
dvoukuželový	dvojkužel
sedumdesátikilový	sedmdesátikilový
dvouhodnotový	dvojhodnotový
dvoudesetinový	dvousetinový, dvousetina
dvoubránový	dvojbrána
dvoubéčkový	dvojbéčkový
dvoubasový	dvojbasový, dvoubase
bezpulzový	pulz
bezvůlový	výlov, válový
bifázový	fázový, fáze
dvoualbový	dvojalbový, dvoualbum, dvojalbum
vršíčkový	vršíček
bodlinkový	bodlinka, bodlina
voltampérový	voltampér
vejtřaskový	vejtřaska
tříáčkový	trojáček
desetimílový	desetimíle
tříargumentový	trojargumentový
stočtyřiceticentimetrový	stočtyřicetimetrový
stošedesáticentimetrový	stošedesátimetrový
třicetiticentimetrový	třiceticentimetrový
třiatřicítkový	třiatřicítka
devětapadesátimiliónový	devětapadesátimilionový
devětatřicetimiliónový	devětatřicetimilionový
trojkolíčkový	trojkolečko
trojbankový	trojband
dvacetipětimiliónový	dvacetipětimilionový
megawattový	megawatt
dopřevratový	převratový, převrat
trojveršový	trojverší
devětašedesátimiliónový	devětašedesátimilionový
devětatřiceticentimetrový	devětatřicetimetrový
devětadvacetimiliónový	devětadvacetimilionový
třiceticetikilometrový	třicetikilometrový
stotřicetišestikilometrový	stotřicetikilometrový
stotřicetipětimiliónový	stotřicetipětimilionový
stotřiatřicetimiliónový	stotřiatřicetimilionový
tříalbový	trojalbový, trojalbum
čtyřstěžňový	čtyřstěžní
čtyřsetsedadlový	čtyrsedadlový
pětadvaceticentimetrový	pětadvacetimetrový
třísetpadesátimiliónový	třísetpadesátimilionový
čtyřistapadesátimiliónový	čtyřistapadesátimilionový
funglnový	fungl
čtyřistadvacetimiliónový	čtyřistadvacetimilionový
třízámkový	trojzámek, trojzámkový
třížilový	trojžilový
dvojpísňový	dvojpíseň
požloutenkový	žloutenkový
čtyřiapůlmiliónový	čtyřiapůlmilionový
čtyřiapadesátimiliónový	čtyřiapadesátimilionový
pětašedesáticentimetrový	pětašedesátimetrový
kočičincový	kočičinec
