Adding relation source: Homér#NNM??-----A---?, target smích#NNI??-----A---? which was originaly root
Adding relation source: Huron#NNI??-----A---?, target řvát#V????--??-??I?? which is root of tree containing řev#NNI??-----A---? which is derivation of Huron#NNI??-----A---? or some of his children
Adding relation source: Silvestr#NNM??-----A---?, target Silvestrov#NNM??-----A---? which is root of tree containing silvestrovský#AA???----??---? which is derivation of Silvestr#NNM??-----A---? or some of his children
Adding relation source: Slovan#NNI??-----A---?, target Slovan#NNM??-----A---? which is root of tree containing Slovanka#NNF??-----A---? which is derivation of Slovan#NNI??-----A---? or some of his children
Adding relation source: abstraktum#NNN??-----A---?, target abstrahovat#V????--??-??B?? which is root of tree containing abstrakce#NNF??-----A---? which is derivation of abstraktum#NNN??-----A---? or some of his children
Adding relation source: aceton#NNI??-----A---?, target acetylen#NNI??-----A---? which was originaly root
Adding relation source: aceton#NNI??-----A---?, target acetát#NNI??-----A---? which was originaly root
Adding relation source: agent#NNM??-----A---?, target agentura#NNF??-----A---? which is root of tree containing agenturní#AA???----??---? which is derivation of agent#NNM??-----A---? or some of his children
Adding relation source: aktivní#AA???----??---?, target aktiv#NNI??-----A---? which is root of tree containing aktivovat#V????--??-??I?? which is derivation of aktivní#AA???----??---? or some of his children
Adding relation source: amin#NNI??-----A---?, target aminokyselina#NNF??-----A---? which was originaly root
Adding relation source: annonce#NNF??-----A---?, target anoncovat#V????--??-??B?? which was originaly root
Adding relation source: anonym#NNI??-----A---?, target anonym#NNM??-----A---? which is root of tree containing anonymní#AA???----??---? which is derivation of anonym#NNI??-----A---? or some of his children
Adding relation source: antikvariát#NNI??-----A---?, target antikva#NNF??-----A---? which is root of tree containing antikvář#NNM??-----A---? which is derivation of antikvariát#NNI??-----A---? or some of his children
Adding relation source: antikvariát#NNI??-----A---?, target antikvární#AA???----??---? which was originaly root
Adding relation source: aparát#NNI??-----A---?, target aparatura#NNF??-----A---? which was originaly root
Adding relation source: apel#NNI??-----A---?, target apelovat#V????--??-??I?? which was originaly root
Adding relation source: apologie#NNF??-----A---?, target apologet#NNM??-----A---? which is root of tree containing apologeta#NNM??-----A---? which is derivation of apologie#NNF??-----A---? or some of his children
Adding relation source: asfalt#NNI??-----A---?, target síla#NNF??-----A---? which is root of tree containing asfaltka#NNF??-----A---? which is derivation of asfalt#NNI??-----A---? or some of his children
Adding relation source: asketa#NNM??-----A---?, target askeze#NNF??-----A---? which was originaly root
Adding relation source: aspiráta#NNF??-----A---?, target aspirovat#V????--??-??I?? which is root of tree containing aspirovaný#AA???----??---? which is derivation of aspiráta#NNF??-----A---? or some of his children
Adding relation source: aut#NNI??-----A---?, target auto#NNN??-----A---? which is root of tree containing autový#AA???----??---? which is derivation of aut#NNI??-----A---? or some of his children
Adding relation source: bacil#NNI??-----A---?, target bacilonosič#NNM??-----A---? which was originaly root
Adding relation source: bacil#NNM??-----A---?, target bacil#NNI??-----A---? which is root of tree containing bacilonosič#NNM??-----A---? which is derivation of bacil#NNM??-----A---? or some of his children
Adding relation source: baktérie#NNF??-----A---?, target bakteriologie#NNF??-----A---? which was originaly root
Adding relation source: balanc#NNF??-----A---?, target balancovat#V????--??-??I?? which is root of tree containing zabalancovat#V????--??-??P?? which is derivation of balanc#NNF??-----A---? or some of his children
Adding relation source: balkon#NNI??-----A---?, target balkonový#AA???----??---? which was originaly root
Adding relation source: banka#NNF??-----A---?, target bank#NNI??-----A---? which was originaly root
Adding relation source: baran#NNM??-----A---?, target beránek#NNM??-----A---? which was originaly root
Adding relation source: batolit#NNI??-----A---?, target batolit#V????--??-??I?? which is root of tree containing batole#NNN??-----A---? which is derivation of batolit#NNI??-----A---? or some of his children
Adding relation source: bačkora#NNM??-----A---?, target bačkora#NNF??-----A---? which is root of tree containing bačkorový#AA???----??---? which is derivation of bačkora#NNM??-----A---? or some of his children
Adding relation source: bažant#NNI??-----A---?, target bažant#NNM??-----A---? which is root of tree containing bažantí#AA???----1?---? which is derivation of bažant#NNI??-----A---? or some of his children
Adding relation source: beatifikace#NNF??-----A---?, target beatifikovat#V????--??-??B?? which was originaly root
Adding relation source: beletrie#NNF??-----A---?, target beletristika#NNF??-----A---? which is root of tree containing beletristický#AA???----??---? which is derivation of beletrie#NNF??-----A---? or some of his children
Adding relation source: benzin#NNI??-----A---?, target benzol#NNI??-----A---? which was originaly root
Adding relation source: benzin#NNI??-----A---?, target benzen#NNI??-----A---? which was originaly root
Adding relation source: beruška#NNF??-----A---?, target berunka#NNF??-----A---? which was originaly root
Adding relation source: biograf#NNM??-----A---?, target biografie#NNF??-----A---? which is root of tree containing biografický#AA???----??---? which is derivation of biograf#NNM??-----A---? or some of his children
Adding relation source: blaf#NNI??-----A---?, target blafat#V????--??-??I?? which was originaly root
Adding relation source: blahý#AA???----1?---?, target blahobyt#NNI??-----A---? which was originaly root
Adding relation source: blahý#AA???----1?---?, target blahořečit#V????--??-??I?? which was originaly root
Adding relation source: blbý#AA???----??---?, target blb#NNM??-----A---? which was originaly root
Adding relation source: blecha#NNF??-----A---?, target zablešit#V????--??-??P?? which is root of tree containing zablešený#AA???----??---? which is derivation of blecha#NNF??-----A---? or some of his children
Adding relation source: bledý#A????----??---?, target zbledat#V????--??-??I?? which is root of tree containing zblednout#V????--??-??P?? which is derivation of bledý#A????----??---? or some of his children
Adding relation source: bledý#A????----??---?, target vyblednout#V????--??-??P?? which was originaly root
Adding relation source: blesk#NNI??-----A---?, target bleskat#V????--??-??I?? which is root of tree containing zablesknout#V????--??-??P?? which is derivation of blesk#NNI??-----A---? or some of his children
