meziprostoru 	 mezi-prostor-u 	 mezi-pro-stor-u
wikipedie 	 wiki-pedi-e 	 wiki-ped-i-e
kozelcovat 	 koz-el-c-ova-t 	 kozelc-ova-t
radikálně 	 radikál-n-ě 	 radik-ál-n-ě
tkalcovat 	 tk-a-l-c-ova-t 	 tka-lc-ova-t
hrách 	 hrách 	 hr-ách
škrdla 	 škrdl-a 	 škrd-l-a
vanout 	 va-nou-t 	 vanou-t
lasík 	 las-ík 	 lasík
gravitest 	 gravi-test 	 grav-i-test
sovětizovat 	 so-vět-iz-ova-t 	 sovět-iz-ova-t
chlípný 	 chlípn-ý 	 chlíp-n-ý
nezlobte 	 ne-zl-ob-te 	 ne-zlob-te
kontraindikace 	 kontra-in-dik-ac-e 	 kontra-indik-ac-e
lehkovznětlivě 	 lehk-o-vz-nět-liv-ě 	 leh-k-ovz-nět-l-iv-ě
satirizovat 	 satir-iz-ova-t 	 sat-ir-iz-ova-t
pupila 	 pupil-a 	 pup-i-l-a
presso 	 press-o 	 presso
funebráků 	 fun-ebr-ák-ů 	 funebr-ák-ů
ruština 	 ruš-t-in-a 	 rušt-in-a
formosu 	 formos-u 	 form-os-u
konskripční 	 kon-skrip-č-n-í 	 kon-skripč-n-í
hrají 	 hra-j-í 	 hraj-í
zanalyzovat 	 z-ana-lyz-ova-t 	 za-na-lyz-ova-t
vzducholodi 	 vz-duch-o-lod-i 	 vzduch-o-lod-i
stokoruna 	 st-o-korun-a 	 sto-korun-a
rozevzpomínat 	 roze-vz-po-mín-a-t 	 roze-vz-pomín-a-t
dvojče 	 dvoj-če 	 dvojč-e
osobám 	 osob-ám 	 osob-á-m
podlec 	 podl-ec 	 podlec
stepat 	 s-tep-a-t 	 step-a-t
vyeliminovávat 	 vy-e-limin-ová-v-a-t 	 vye-limin-ová-v-a-t
příční 	 příčn-í 	 příč-n-í
ukrajina 	 ukrajin-a 	 u-kraj-in-a
fotoreportáž 	 fot-o-re-port-áž 	 fot-o-report-áž
kriminál 	 kriminál 	 krimin-ál
princezničko 	 princezn-ičk-o 	 princ-eznič-k-o
vstupenku 	 v-stup-enk-u 	 v-stup-en-k-u
odvracení 	 od-vrac-e-n-í 	 od-vrac-en-í
dehumanizovat 	 de-human-iz-ova-t 	 de-hum-an-iz-ova-t
keithovi 	 keith-ovi 	 keithovi
ovečka 	 oveč-k-a 	 ovečk-a
respektive 	 respektive 	 respekt-iv-e
pancharte 	 panchart-e 	 panc-harte
spěnka 	 spěnk-a 	 spěn-k-a
meziválečný 	 mezi-vál-eč-n-ý 	 mezi-váleč-n-ý
ondulovat 	 ond-ul-ova-t 	 on-dul-ova-t
ohlédne 	 o-hléd-ne 	 o-hléd-n-e
žádným 	 žád-n-ým 	 žádn-ým
kubík 	 kub-ík 	 kubík
zubrovka 	 zubr-ov-k-a 	 zubr-ovk-a
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
chichotat 	 chich-ot-a-t 	 chichot-a-t
těmito 	 t-ěmi-to 	 těm-i-t-o
zaneprázdnit 	 za-ne-prázd-n-i-t 	 za-ne-prázdn-i-t
chlácholivě 	 chláchol-iv-ě 	 chláchol-i-v-ě
invalidní 	 in-valid-n-í 	 inval-id-n-í
bilaterální 	 bi-later-ál-n-í 	 bil-ater-ál-n-í
rito 	 rit-o 	 rito
počáteční 	 po-čá-t-eč-n-í 	 po-č-á-teční
účtárnách 	 ú-čt-ár-n-ách 	 ú-čtár-n-ách
popelavět 	 popel-av-ě-t 	 po-pel-av-ě-t
teoretický 	 teor-et-ic-k-ý 	 teor-et-ick-ý
mládenečky 	 mlád-eneč-k-y 	 mlád-en-ečk-y
mučivější 	 muč-i-v-ěj-š-í 	 muč-iv-ějš-í
čtyřstupňovou 	 čtyř-stupň-ov-ou 	 čtyř-stup-ň-ov-ou
eliminovat 	 e-limin-ova-t 	 elimin-ova-t
dezinfekce 	 dez-in-fekc-e 	 dez-in-fek-c-e
adami 	 adami 	 ad-ami
zraj 	 zra-j 	 zraj
playboy 	 play-boy 	 play-bo-y
protierozní 	 proti-eroz-n-í 	 proti-e-roz-n-í
plamenech 	 pla-men-ech 	 plamen-ech
nebo 	 nebo 	 neb-o
zreglementovat 	 z-reg-le-ment-ova-t 	 z-regle-ment-ova-t
koalice 	 koalic-e 	 koal-ic-e
pozdějších 	 pozd-ějš-ích 	 po-zd-ějš-ích
slib 	 s-lib 	 slib
talský 	 talsk-ý 	 tal-sk-ý
nosticová 	 nostic-ov-á 	 nost-ic-ov-á
oznámila 	 o-znám-i-l-a 	 o-znám-il-a
odporučit 	 od-po-ruč-i-t 	 od-poruč-i-t
režírující 	 rež-ír-uj-íc-í 	 režír-uj-íc-í
třpytivý 	 třpyt-i-v-ý 	 třpyt-iv-ý
lazio 	 lazio 	 lazi-o
alogično 	 a-log-ič-n-o 	 alogičn-o
otčenáš 	 otč-e-n-á-š 	 otč-en-áš
halasovskost 	 halas-ovsk-ost 	 halas-ov-sk-ost
ranhojič 	 ran-hoj-i-č 	 ranhoj-i-č
pohněvat 	 po-hněv-a-t 	 po-hně-v-a-t
hobby 	 hobby 	 hob-b-y
králík 	 králík 	 král-ík
pominout 	 po-mi-nou-t 	 po-min-ou-t
cestami 	 cest-ami 	 cestami
bohorodice 	 boh-o-rod-i-ce 	 boh-o-rod-ic-e
padlo 	 pad-l-o 	 padl-o
splítka 	 splítk-a 	 splít-k-a
hematologického 	 hemat-o-log-ick-ého 	 hemato-log-ick-ého
znáčka 	 znáčk-a 	 znáč-k-a
nicnevyzařující 	 ni-c-ne-vy-zař-uj-íc-í 	 nicne-vy-zař-uj-íc-í
rohlík 	 roh-l-ík 	 rohlík
obrečet 	 o-breč-e-t 	 ob-reč-e-t
zieleniec 	 zieleniec 	 zielen-i-ec
vypulírovat 	 vy-pulír-ova-t 	 vy-pul-ír-ova-t
sociohistorické 	 soc-i-o-histor-ick-é 	 soci-o-histor-ic-k-é
zdál 	 zd-á-l 	 z-dál
spora 	 spor-a 	 s-por-a
antropogenního 	 antrop-o-gen-n-ího 	 antro-po-gen-n-ího
negativní 	 negativ-n-í 	 negat-iv-n-í
předchozím 	 před-choz-ím 	 před-choz-í-m
potácet 	 potác-e-t 	 po-tác-e-t
zobrazení 	 z-obraz-en-í 	 z-ob-raz-en-í
neodřel 	 ne-o-dř-e-l 	 ne-odř-e-l
iritovat 	 irit-ova-t 	 i-rit-ova-t
rubíny 	 rubín-y 	 rub-ín-y
artrock 	 art-rock 	 artrock
neumře 	 ne-u-mř-e 	 ne-umř-e
chronický 	 chron-ick-ý 	 chron-ic-k-ý
psací 	 ps-a-c-í 	 ps-ac-í
šarapatit 	 šarapat-i-t 	 šara-pat-i-t
znovunavázanost 	 z-nov-u-na-váz-a-n-ost 	 znovu-na-váz-an-ost
metelit 	 met-el-i-t 	 metel-i-t
obolavět 	 o-bol-av-ě-t 	 obol-av-ě-t
ztrapnit 	 z-trapn-i-t 	 z-trap-n-i-t
kdovíjak 	 kd-o-v-í-jak 	 kd-o-ví-jak
proletarizovat 	 prolet-ar-iz-ova-t 	 pro-let-ar-iz-ova-t
olinko 	 ol-in-k-o 	 olin-k-o
nezáviděníhodné 	 ne-závid-ěn-í-hod-n-é 	 ne-zá-vid-ě-n-íhod-n-é
hokejbal 	 hokejbal 	 hokej-bal
krbem 	 krb-em 	 krbem
pralesy 	 pra-les-y 	 prales-y
zaorálek 	 za-or-á-l-ek 	 za-orál-ek
zároveň 	 zá-roveň 	 zá-rov-eň
neztenčeně 	 ne-z-ten-č-en-ě 	 ne-z-tenč-en-ě
sebezničující 	 seb-e-z-nič-uj-íc-í 	 seb-e-znič-uj-íc-í
celkový 	 celk-ov-ý 	 cel-k-ov-ý
diplomacie 	 diplomac-i-e 	 diplo-mac-i-e
zutínat 	 z-u-tín-a-t 	 zu-tín-a-t
přearanžovat 	 pře-a-ranž-ova-t 	 pře-aranž-ova-t
spíjívaný 	 s-píj-í-v-a-n-ý 	 spíj-í-v-a-n-ý
kejkle 	 kejkl-e 	 kejk-l-e
lucie 	 luci-e 	 luc-i-e
reedovat 	 re-ed-ova-t 	 reed-ova-t
obráceně 	 ob-rác-e-n-ě 	 ob-rác-en-ě
počva 	 počv-a 	 po-čv-a
uhníst 	 u-hníst 	 u-hnís-t
pomelo 	 pomel-o 	 po-mel-o
